date,Performing_Art_FR
2018-01-07,54
2018-01-14,54
2018-01-21,54
2018-01-28,57
2018-02-04,46
2018-02-11,49
2018-02-18,48
2018-02-25,46
2018-03-04,49
2018-03-11,48
2018-03-18,47
2018-03-25,42
2018-04-01,41
2018-04-08,42
2018-04-15,37
2018-04-22,35
2018-04-29,33
2018-05-06,35
2018-05-13,32
2018-05-20,33
2018-05-27,39
2018-06-03,39
2018-06-10,37
2018-06-17,35
2018-06-24,30
2018-07-01,29
2018-07-08,30
2018-07-15,34
2018-07-22,35
2018-07-29,39
2018-08-05,33
2018-08-12,37
2018-08-19,35
2018-08-26,34
2018-09-02,34
2018-09-09,43
2018-09-16,46
2018-09-23,48
2018-09-30,53
2018-10-07,51
2018-10-14,54
2018-10-21,57
2018-10-28,60
2018-11-04,60
2018-11-11,63
2018-11-18,60
2018-11-25,76
2018-12-02,77
2018-12-09,85
2018-12-16,93
2018-12-23,81
2018-12-30,66
2019-01-06,46
2019-01-13,44
2019-01-20,50
2019-01-27,19
2019-02-03,10
2019-02-10,9
2019-02-17,8
2019-02-24,10
2019-03-03,9
2019-03-10,9
2019-03-17,7
2019-03-24,9
2019-03-31,39
2019-04-07,43
2019-04-14,36
2019-04-21,35
2019-04-28,36
2019-05-05,37
2019-05-12,41
2019-05-19,37
2019-05-26,33
2019-06-02,33
2019-06-09,37
2019-06-16,35
2019-06-23,32
2019-06-30,36
2019-07-07,39
2019-07-14,39
2019-07-21,37
2019-07-28,37
2019-08-04,40
2019-08-11,42
2019-08-18,37
2019-08-25,38
2019-09-01,39
2019-09-08,44
2019-09-15,49
2019-09-22,48
2019-09-29,54
2019-10-06,57
2019-10-13,53
2019-10-20,55
2019-10-27,64
2019-11-03,68
2019-11-10,68
2019-11-17,69
2019-11-24,74
2019-12-01,80
2019-12-08,94
2019-12-15,100
2019-12-22,93
2019-12-29,65
2020-01-05,51
2020-01-12,54
2020-01-19,54
2020-01-26,57
2020-02-02,59
2020-02-09,52
2020-02-16,55
2020-02-23,45
2020-03-01,57
2020-03-08,57
