date,Music_CO
2018-01-07,87
2018-01-14,85
2018-01-21,88
2018-01-28,86
2018-02-04,88
2018-02-11,85
2018-02-18,86
2018-02-25,79
2018-03-04,85
2018-03-11,80
2018-03-18,81
2018-03-25,85
2018-04-01,76
2018-04-08,82
2018-04-15,80
2018-04-22,81
2018-04-29,75
2018-05-06,79
2018-05-13,79
2018-05-20,79
2018-05-27,75
2018-06-03,85
2018-06-10,74
2018-06-17,74
2018-06-24,70
2018-07-01,74
2018-07-08,81
2018-07-15,85
2018-07-22,81
2018-07-29,86
2018-08-05,83
2018-08-12,80
2018-08-19,89
2018-08-26,79
2018-09-02,84
2018-09-09,84
2018-09-16,87
2018-09-23,89
2018-09-30,84
2018-10-07,79
2018-10-14,81
2018-10-21,81
2018-10-28,78
2018-11-04,78
2018-11-11,80
2018-11-18,79
2018-11-25,82
2018-12-02,87
2018-12-09,79
2018-12-16,86
2018-12-23,100
2018-12-30,85
2019-01-06,74
2019-01-13,73
2019-01-20,72
2019-01-27,72
2019-02-03,73
2019-02-10,72
2019-02-17,68
2019-02-24,69
2019-03-03,70
2019-03-10,70
2019-03-17,71
2019-03-24,73
2019-03-31,70
2019-04-07,72
2019-04-14,72
2019-04-21,65
2019-04-28,73
2019-05-05,70
2019-05-12,72
2019-05-19,71
2019-05-26,68
2019-06-02,66
2019-06-09,71
2019-06-16,69
2019-06-23,66
2019-06-30,67
2019-07-07,67
2019-07-14,71
2019-07-21,68
2019-07-28,69
2019-08-04,72
2019-08-11,69
2019-08-18,68
2019-08-25,68
2019-09-01,68
2019-09-08,67
2019-09-15,70
2019-09-22,69
2019-09-29,67
2019-10-06,66
2019-10-13,67
2019-10-20,65
2019-10-27,64
2019-11-03,68
2019-11-10,70
2019-11-17,64
2019-11-24,64
2019-12-01,69
2019-12-08,73
2019-12-15,68
2019-12-22,77
2019-12-29,75
2020-01-05,62
2020-01-12,60
2020-01-19,60
2020-01-26,60
2020-02-02,58
2020-02-09,63
2020-02-16,59
2020-02-23,59
2020-03-01,60
2020-03-08,58
