date,Pets_NO
2018-01-07,58
2018-01-14,69
2018-01-21,62
2018-01-28,36
2018-02-04,37
2018-02-11,48
2018-02-18,50
2018-02-25,85
2018-03-04,51
2018-03-11,48
2018-03-18,76
2018-03-25,36
2018-04-01,37
2018-04-08,33
2018-04-15,62
2018-04-22,26
2018-04-29,29
2018-05-06,38
2018-05-13,45
2018-05-20,55
2018-05-27,46
2018-06-03,38
2018-06-10,28
2018-06-17,44
2018-06-24,28
2018-07-01,33
2018-07-08,68
2018-07-15,45
2018-07-22,53
2018-07-29,56
2018-08-05,45
2018-08-12,100
2018-08-19,48
2018-08-26,48
2018-09-02,65
2018-09-09,29
2018-09-16,54
2018-09-23,63
2018-09-30,42
2018-10-07,66
2018-10-14,61
2018-10-21,53
2018-10-28,34
2018-11-04,66
2018-11-11,39
2018-11-18,62
2018-11-25,41
2018-12-02,32
2018-12-09,38
2018-12-16,36
2018-12-23,72
2018-12-30,59
2019-01-06,39
2019-01-13,70
2019-01-20,46
2019-01-27,77
2019-02-03,70
2019-02-10,40
2019-02-17,48
2019-02-24,97
2019-03-03,89
2019-03-10,55
2019-03-17,66
2019-03-24,77
2019-03-31,39
2019-04-07,54
2019-04-14,36
2019-04-21,42
2019-04-28,54
2019-05-05,65
2019-05-12,34
2019-05-19,47
2019-05-26,36
2019-06-02,40
2019-06-09,56
2019-06-16,58
2019-06-23,50
2019-06-30,51
2019-07-07,64
2019-07-14,46
2019-07-21,44
2019-07-28,71
2019-08-04,45
2019-08-11,49
2019-08-18,46
2019-08-25,69
2019-09-01,83
2019-09-08,73
2019-09-15,72
2019-09-22,45
2019-09-29,43
2019-10-06,71
2019-10-13,45
2019-10-20,53
2019-10-27,48
2019-11-03,50
2019-11-10,66
2019-11-17,33
2019-11-24,64
2019-12-01,82
2019-12-08,54
2019-12-15,24
2019-12-22,39
2019-12-29,63
2020-01-05,53
2020-01-12,59
2020-01-19,71
2020-01-26,67
2020-02-02,45
2020-02-09,67
2020-02-16,58
2020-02-23,75
2020-03-01,71
2020-03-08,64
