date,Collecting_CH
2018-01-07,44
2018-01-14,48
2018-01-21,52
2018-01-28,31
2018-02-04,36
2018-02-11,36
2018-02-18,54
2018-02-25,39
2018-03-04,35
2018-03-11,69
2018-03-18,39
2018-03-25,55
2018-04-01,45
2018-04-08,61
2018-04-15,23
2018-04-22,37
2018-04-29,50
2018-05-06,71
2018-05-13,27
2018-05-20,23
2018-05-27,41
2018-06-03,54
2018-06-10,44
2018-06-17,49
2018-06-24,14
2018-07-01,18
2018-07-08,34
2018-07-15,30
2018-07-22,52
2018-07-29,38
2018-08-05,39
2018-08-12,37
2018-08-19,27
2018-08-26,36
2018-09-02,55
2018-09-09,63
2018-09-16,77
2018-09-23,100
2018-09-30,75
2018-10-07,57
2018-10-14,52
2018-10-21,50
2018-10-28,39
2018-11-04,65
2018-11-11,31
2018-11-18,52
2018-11-25,30
2018-12-02,54
2018-12-09,36
2018-12-16,32
2018-12-23,28
2018-12-30,50
2019-01-06,25
2019-01-13,26
2019-01-20,42
2019-01-27,38
2019-02-03,26
2019-02-10,53
2019-02-17,31
2019-02-24,39
2019-03-03,29
2019-03-10,38
2019-03-17,26
2019-03-24,53
2019-03-31,39
2019-04-07,46
2019-04-14,62
2019-04-21,24
2019-04-28,42
2019-05-05,54
2019-05-12,34
2019-05-19,38
2019-05-26,18
2019-06-02,56
2019-06-09,43
2019-06-16,53
2019-06-23,28
2019-06-30,49
2019-07-07,18
2019-07-14,55
2019-07-21,21
2019-07-28,54
2019-08-04,20
2019-08-11,54
2019-08-18,65
2019-08-25,56
2019-09-01,70
2019-09-08,68
2019-09-15,81
2019-09-22,47
2019-09-29,43
2019-10-06,82
2019-10-13,55
2019-10-20,41
2019-10-27,45
2019-11-03,41
2019-11-10,41
2019-11-17,41
2019-11-24,59
2019-12-01,37
2019-12-08,28
2019-12-15,42
2019-12-22,30
2019-12-29,48
2020-01-05,47
2020-01-12,31
2020-01-19,47
2020-01-26,63
2020-02-02,39
2020-02-09,51
2020-02-16,28
2020-02-23,42
2020-03-01,49
2020-03-08,37
