date,Music_IL
2018-01-07,79
2018-01-14,85
2018-01-21,81
2018-01-28,88
2018-02-04,87
2018-02-11,81
2018-02-18,81
2018-02-25,100
2018-03-04,94
2018-03-11,92
2018-03-18,83
2018-03-25,77
2018-04-01,87
2018-04-08,76
2018-04-15,86
2018-04-22,85
2018-04-29,74
2018-05-06,78
2018-05-13,74
2018-05-20,76
2018-05-27,80
2018-06-03,71
2018-06-10,82
2018-06-17,83
2018-06-24,77
2018-07-01,64
2018-07-08,82
2018-07-15,83
2018-07-22,77
2018-07-29,71
2018-08-05,84
2018-08-12,83
2018-08-19,81
2018-08-26,83
2018-09-02,86
2018-09-09,78
2018-09-16,87
2018-09-23,83
2018-09-30,82
2018-10-07,93
2018-10-14,80
2018-10-21,82
2018-10-28,70
2018-11-04,82
2018-11-11,85
2018-11-18,64
2018-11-25,82
2018-12-02,80
2018-12-09,74
2018-12-16,84
2018-12-23,87
2018-12-30,83
2019-01-06,66
2019-01-13,69
2019-01-20,81
2019-01-27,78
2019-02-03,75
2019-02-10,68
2019-02-17,78
2019-02-24,78
2019-03-03,77
2019-03-10,77
2019-03-17,76
2019-03-24,64
2019-03-31,70
2019-04-07,77
2019-04-14,75
2019-04-21,73
2019-04-28,75
2019-05-05,88
2019-05-12,70
2019-05-19,74
2019-05-26,81
2019-06-02,85
2019-06-09,84
2019-06-16,81
2019-06-23,94
2019-06-30,82
2019-07-07,83
2019-07-14,89
2019-07-21,79
2019-07-28,81
2019-08-04,67
2019-08-11,79
2019-08-18,72
2019-08-25,73
2019-09-01,76
2019-09-08,81
2019-09-15,62
2019-09-22,80
2019-09-29,79
2019-10-06,79
2019-10-13,97
2019-10-20,84
2019-10-27,74
2019-11-03,74
2019-11-10,74
2019-11-17,83
2019-11-24,80
2019-12-01,84
2019-12-08,83
2019-12-15,85
2019-12-22,86
2019-12-29,70
2020-01-05,72
2020-01-12,80
2020-01-19,61
2020-01-26,75
2020-02-02,74
2020-02-09,73
2020-02-16,82
2020-02-23,67
2020-03-01,62
2020-03-08,66
