date,Pets_JP
2018-01-07,79
2018-01-14,78
2018-01-21,72
2018-01-28,74
2018-02-04,71
2018-02-11,70
2018-02-18,71
2018-02-25,80
2018-03-04,74
2018-03-11,73
2018-03-18,74
2018-03-25,80
2018-04-01,73
2018-04-08,73
2018-04-15,76
2018-04-22,78
2018-04-29,90
2018-05-06,77
2018-05-13,82
2018-05-20,75
2018-05-27,75
2018-06-03,81
2018-06-10,76
2018-06-17,81
2018-06-24,83
2018-07-01,72
2018-07-08,82
2018-07-15,83
2018-07-22,79
2018-07-29,83
2018-08-05,78
2018-08-12,85
2018-08-19,73
2018-08-26,79
2018-09-02,74
2018-09-09,85
2018-09-16,78
2018-09-23,80
2018-09-30,77
2018-10-07,86
2018-10-14,74
2018-10-21,79
2018-10-28,82
2018-11-04,76
2018-11-11,78
2018-11-18,80
2018-11-25,80
2018-12-02,74
2018-12-09,73
2018-12-16,80
2018-12-23,71
2018-12-30,81
2019-01-06,81
2019-01-13,84
2019-01-20,77
2019-01-27,16
2019-02-03,3
2019-02-10,2
2019-02-17,4
2019-02-24,3
2019-03-03,3
2019-03-10,2
2019-03-17,3
2019-03-24,4
2019-03-31,67
2019-04-07,75
2019-04-14,86
2019-04-21,80
2019-04-28,100
2019-05-05,88
2019-05-12,84
2019-05-19,78
2019-05-26,80
2019-06-02,81
2019-06-09,84
2019-06-16,81
2019-06-23,80
2019-06-30,83
2019-07-07,82
2019-07-14,82
2019-07-21,100
2019-07-28,99
2019-08-04,89
2019-08-11,92
2019-08-18,88
2019-08-25,82
2019-09-01,85
2019-09-08,84
2019-09-15,88
2019-09-22,78
2019-09-29,76
2019-10-06,76
2019-10-13,84
2019-10-20,82
2019-10-27,81
2019-11-03,86
2019-11-10,79
2019-11-17,81
2019-11-24,78
2019-12-01,79
2019-12-08,79
2019-12-15,77
2019-12-22,71
2019-12-29,84
2020-01-05,86
2020-01-12,84
2020-01-19,83
2020-01-26,77
2020-02-02,80
2020-02-09,79
2020-02-16,80
2020-02-23,81
2020-03-01,80
2020-03-08,74
