date,Learning_VN
2018-01-07,43
2018-01-14,42
2018-01-21,31
2018-01-28,46
2018-02-04,37
2018-02-11,26
2018-02-18,36
2018-02-25,35
2018-03-04,46
2018-03-11,41
2018-03-18,42
2018-03-25,39
2018-04-01,43
2018-04-08,43
2018-04-15,47
2018-04-22,35
2018-04-29,40
2018-05-06,41
2018-05-13,43
2018-05-20,45
2018-05-27,41
2018-06-03,39
2018-06-10,36
2018-06-17,29
2018-06-24,29
2018-07-01,33
2018-07-08,36
2018-07-15,40
2018-07-22,42
2018-07-29,41
2018-08-05,54
2018-08-12,51
2018-08-19,38
2018-08-26,48
2018-09-02,36
2018-09-09,41
2018-09-16,50
2018-09-23,48
2018-09-30,50
2018-10-07,49
2018-10-14,50
2018-10-21,45
2018-10-28,49
2018-11-04,48
2018-11-11,44
2018-11-18,44
2018-11-25,43
2018-12-02,46
2018-12-09,44
2018-12-16,47
2018-12-23,42
2018-12-30,41
2019-01-06,53
2019-01-13,41
2019-01-20,45
2019-01-27,39
2019-02-03,40
2019-02-10,60
2019-02-17,65
2019-02-24,60
2019-03-03,66
2019-03-10,63
2019-03-17,61
2019-03-24,76
2019-03-31,54
2019-04-07,53
2019-04-14,51
2019-04-21,61
2019-04-28,48
2019-05-05,68
2019-05-12,63
2019-05-19,71
2019-05-26,75
2019-06-02,69
2019-06-09,65
2019-06-16,71
2019-06-23,71
2019-06-30,74
2019-07-07,76
2019-07-14,73
2019-07-21,89
2019-07-28,74
2019-08-04,80
2019-08-11,80
2019-08-18,72
2019-08-25,75
2019-09-01,61
2019-09-08,74
2019-09-15,67
2019-09-22,68
2019-09-29,85
2019-10-06,81
2019-10-13,72
2019-10-20,78
2019-10-27,74
2019-11-03,77
2019-11-10,83
2019-11-17,78
2019-11-24,72
2019-12-01,67
2019-12-08,83
2019-12-15,90
2019-12-22,83
2019-12-29,68
2020-01-05,81
2020-01-12,63
2020-01-19,54
2020-01-26,56
2020-02-02,71
2020-02-09,79
2020-02-16,84
2020-02-23,100
2020-03-01,87
2020-03-08,85
