date,Performing_Art_NL
2018-01-07,14
2018-01-14,14
2018-01-21,55
2018-01-28,42
2018-02-04,14
2018-02-11,14
2018-02-18,29
2018-02-25,29
2018-03-04,56
2018-03-11,55
2018-03-18,14
2018-03-25,14
2018-04-01,43
2018-04-08,0
2018-04-15,30
2018-04-22,14
2018-04-29,58
2018-05-06,44
2018-05-13,55
2018-05-20,0
2018-05-27,40
2018-06-03,14
2018-06-10,27
2018-06-17,40
2018-06-24,28
2018-07-01,28
2018-07-08,28
2018-07-15,15
2018-07-22,15
2018-07-29,16
2018-08-05,15
2018-08-12,45
2018-08-19,29
2018-08-26,14
2018-09-02,42
2018-09-09,0
2018-09-16,70
2018-09-23,28
2018-09-30,42
2018-10-07,0
2018-10-14,0
2018-10-21,14
2018-10-28,84
2018-11-04,41
2018-11-11,28
2018-11-18,41
2018-11-25,0
2018-12-02,0
2018-12-09,43
2018-12-16,0
2018-12-23,0
2018-12-30,15
2019-01-06,14
2019-01-13,54
2019-01-20,40
2019-01-27,40
2019-02-03,41
2019-02-10,14
2019-02-17,14
2019-02-24,0
2019-03-03,14
2019-03-10,40
2019-03-17,27
2019-03-24,56
2019-03-31,14
2019-04-07,55
2019-04-14,100
2019-04-21,29
2019-04-28,41
2019-05-05,13
2019-05-12,27
2019-05-19,41
2019-05-26,27
2019-06-02,0
2019-06-09,13
2019-06-16,40
2019-06-23,0
2019-06-30,41
2019-07-07,27
2019-07-14,0
2019-07-21,0
2019-07-28,30
2019-08-04,15
2019-08-11,100
2019-08-18,0
2019-08-25,14
2019-09-01,13
2019-09-08,13
2019-09-15,40
2019-09-22,38
2019-09-29,38
2019-10-06,38
2019-10-13,39
2019-10-20,40
2019-10-27,64
2019-11-03,38
2019-11-10,38
2019-11-17,78
2019-11-24,38
2019-12-01,39
2019-12-08,52
2019-12-15,0
2019-12-22,28
2019-12-29,13
2020-01-05,50
2020-01-12,24
2020-01-19,49
2020-01-26,37
2020-02-02,13
2020-02-09,49
2020-02-16,37
2020-02-23,25
2020-03-01,12
2020-03-08,46
