date,Sports_CO
2018-01-07,33
2018-01-14,36
2018-01-21,43
2018-01-28,40
2018-02-04,50
2018-02-11,50
2018-02-18,44
2018-02-25,41
2018-03-04,39
2018-03-11,32
2018-03-18,40
2018-03-25,42
2018-04-01,38
2018-04-08,42
2018-04-15,37
2018-04-22,39
2018-04-29,37
2018-05-06,43
2018-05-13,34
2018-05-20,38
2018-05-27,36
2018-06-03,33
2018-06-10,73
2018-06-17,100
2018-06-24,97
2018-07-01,73
2018-07-08,38
2018-07-15,39
2018-07-22,37
2018-07-29,37
2018-08-05,33
2018-08-12,41
2018-08-19,39
2018-08-26,36
2018-09-02,35
2018-09-09,37
2018-09-16,33
2018-09-23,35
2018-09-30,40
2018-10-07,36
2018-10-14,41
2018-10-21,36
2018-10-28,42
2018-11-04,34
2018-11-11,35
2018-11-18,37
2018-11-25,33
2018-12-02,30
2018-12-09,29
2018-12-16,30
2018-12-23,26
2018-12-30,30
2019-01-06,38
2019-01-13,43
2019-01-20,37
2019-01-27,56
2019-02-03,56
2019-02-10,51
2019-02-17,52
2019-02-24,62
2019-03-03,55
2019-03-10,62
2019-03-17,59
2019-03-24,62
2019-03-31,40
2019-04-07,39
2019-04-14,39
2019-04-21,43
2019-04-28,46
2019-05-05,49
2019-05-12,41
2019-05-19,42
2019-05-26,38
2019-06-02,43
2019-06-09,46
2019-06-16,48
2019-06-23,38
2019-06-30,32
2019-07-07,39
2019-07-14,42
2019-07-21,45
2019-07-28,39
2019-08-04,35
2019-08-11,41
2019-08-18,39
2019-08-25,40
2019-09-01,39
2019-09-08,39
2019-09-15,38
2019-09-22,44
2019-09-29,49
2019-10-06,55
2019-10-13,52
2019-10-20,59
2019-10-27,49
2019-11-03,41
2019-11-10,54
2019-11-17,53
2019-11-24,55
2019-12-01,48
2019-12-08,33
2019-12-15,37
2019-12-22,31
2019-12-29,31
2020-01-05,44
2020-01-12,49
2020-01-19,48
2020-01-26,69
2020-02-02,79
2020-02-09,70
2020-02-16,71
2020-02-23,64
2020-03-01,65
2020-03-08,51
