date,Cooking_PT
2018-01-07,48
2018-01-14,39
2018-01-21,29
2018-01-28,42
2018-02-04,32
2018-02-11,38
2018-02-18,38
2018-02-25,36
2018-03-04,35
2018-03-11,30
2018-03-18,39
2018-03-25,46
2018-04-01,43
2018-04-08,33
2018-04-15,30
2018-04-22,29
2018-04-29,36
2018-05-06,34
2018-05-13,29
2018-05-20,29
2018-05-27,37
2018-06-03,36
2018-06-10,34
2018-06-17,25
2018-06-24,32
2018-07-01,19
2018-07-08,29
2018-07-15,39
2018-07-22,35
2018-07-29,29
2018-08-05,30
2018-08-12,41
2018-08-19,37
2018-08-26,35
2018-09-02,32
2018-09-09,32
2018-09-16,31
2018-09-23,27
2018-09-30,32
2018-10-07,39
2018-10-14,42
2018-10-21,41
2018-10-28,40
2018-11-04,53
2018-11-11,46
2018-11-18,43
2018-11-25,42
2018-12-02,35
2018-12-09,38
2018-12-16,51
2018-12-23,87
2018-12-30,98
2019-01-06,47
2019-01-13,36
2019-01-20,33
2019-01-27,35
2019-02-03,31
2019-02-10,47
2019-02-17,35
2019-02-24,37
2019-03-03,43
2019-03-10,41
2019-03-17,40
2019-03-24,35
2019-03-31,50
2019-04-07,39
2019-04-14,43
2019-04-21,45
2019-04-28,44
2019-05-05,32
2019-05-12,36
2019-05-19,38
2019-05-26,31
2019-06-02,29
2019-06-09,34
2019-06-16,25
2019-06-23,36
2019-06-30,31
2019-07-07,28
2019-07-14,36
2019-07-21,42
2019-07-28,41
2019-08-04,30
2019-08-11,40
2019-08-18,33
2019-08-25,26
2019-09-01,32
2019-09-08,27
2019-09-15,40
2019-09-22,37
2019-09-29,38
2019-10-06,33
2019-10-13,43
2019-10-20,40
2019-10-27,55
2019-11-03,43
2019-11-10,47
2019-11-17,39
2019-11-24,38
2019-12-01,30
2019-12-08,39
2019-12-15,39
2019-12-22,100
2019-12-29,83
2020-01-05,44
2020-01-12,41
2020-01-19,37
2020-01-26,35
2020-02-02,44
2020-02-09,37
2020-02-16,42
2020-02-23,41
2020-03-01,40
2020-03-08,38
