date,Game_CZ
2018-01-07,58
2018-01-14,57
2018-01-21,64
2018-01-28,67
2018-02-04,66
2018-02-11,69
2018-02-18,71
2018-02-25,68
2018-03-04,59
2018-03-11,55
2018-03-18,57
2018-03-25,59
2018-04-01,62
2018-04-08,75
2018-04-15,78
2018-04-22,75
2018-04-29,89
2018-05-06,70
2018-05-13,47
2018-05-20,45
2018-05-27,48
2018-06-03,50
2018-06-10,53
2018-06-17,57
2018-06-24,55
2018-07-01,51
2018-07-08,60
2018-07-15,72
2018-07-22,70
2018-07-29,73
2018-08-05,78
2018-08-12,71
2018-08-19,54
2018-08-26,53
2018-09-02,44
2018-09-09,47
2018-09-16,47
2018-09-23,50
2018-09-30,51
2018-10-07,50
2018-10-14,49
2018-10-21,55
2018-10-28,60
2018-11-04,59
2018-11-11,65
2018-11-18,87
2018-11-25,90
2018-12-02,100
2018-12-09,86
2018-12-16,75
2018-12-23,77
2018-12-30,65
2019-01-06,49
2019-01-13,54
2019-01-20,54
2019-01-27,42
2019-02-03,36
2019-02-10,35
2019-02-17,33
2019-02-24,33
2019-03-03,32
2019-03-10,34
2019-03-17,31
2019-03-24,46
2019-03-31,75
2019-04-07,77
2019-04-14,79
2019-04-21,80
2019-04-28,71
2019-05-05,46
2019-05-12,48
2019-05-19,42
2019-05-26,47
2019-06-02,46
2019-06-09,47
2019-06-16,56
2019-06-23,47
2019-06-30,47
2019-07-07,50
2019-07-14,49
2019-07-21,44
2019-07-28,46
2019-08-04,43
2019-08-11,48
2019-08-18,44
2019-08-25,45
2019-09-01,44
2019-09-08,48
2019-09-15,46
2019-09-22,48
2019-09-29,46
2019-10-06,45
2019-10-13,48
2019-10-20,51
2019-10-27,56
2019-11-03,57
2019-11-10,59
2019-11-17,63
2019-11-24,62
2019-12-01,67
2019-12-08,66
2019-12-15,67
2019-12-22,82
2019-12-29,65
2020-01-05,54
2020-01-12,53
2020-01-19,58
2020-01-26,57
2020-02-02,53
2020-02-09,52
2020-02-16,53
2020-02-23,52
2020-03-01,53
2020-03-08,53
