date,Pets_GB
2018-01-07,86
2018-01-14,88
2018-01-21,85
2018-01-28,81
2018-02-04,86
2018-02-11,84
2018-02-18,81
2018-02-25,74
2018-03-04,79
2018-03-11,85
2018-03-18,80
2018-03-25,86
2018-04-01,88
2018-04-08,84
2018-04-15,74
2018-04-22,77
2018-04-29,77
2018-05-06,73
2018-05-13,73
2018-05-20,81
2018-05-27,92
2018-06-03,80
2018-06-10,77
2018-06-17,77
2018-06-24,77
2018-07-01,79
2018-07-08,84
2018-07-15,88
2018-07-22,87
2018-07-29,94
2018-08-05,95
2018-08-12,95
2018-08-19,94
2018-08-26,93
2018-09-02,81
2018-09-09,84
2018-09-16,83
2018-09-23,87
2018-09-30,87
2018-10-07,84
2018-10-14,86
2018-10-21,84
2018-10-28,81
2018-11-04,86
2018-11-11,83
2018-11-18,85
2018-11-25,79
2018-12-02,76
2018-12-09,79
2018-12-16,76
2018-12-23,85
2018-12-30,98
2019-01-06,84
2019-01-13,85
2019-01-20,85
2019-01-27,83
2019-02-03,88
2019-02-10,84
2019-02-17,86
2019-02-24,86
2019-03-03,85
2019-03-10,83
2019-03-17,85
2019-03-24,82
2019-03-31,78
2019-04-07,90
2019-04-14,87
2019-04-21,84
2019-04-28,85
2019-05-05,82
2019-05-12,80
2019-05-19,86
2019-05-26,88
2019-06-02,82
2019-06-09,85
2019-06-16,82
2019-06-23,87
2019-06-30,87
2019-07-07,89
2019-07-14,88
2019-07-21,89
2019-07-28,89
2019-08-04,92
2019-08-11,92
2019-08-18,94
2019-08-25,98
2019-09-01,87
2019-09-08,87
2019-09-15,90
2019-09-22,87
2019-09-29,86
2019-10-06,88
2019-10-13,90
2019-10-20,87
2019-10-27,87
2019-11-03,93
2019-11-10,81
2019-11-17,87
2019-11-24,82
2019-12-01,84
2019-12-08,85
2019-12-15,92
2019-12-22,97
2019-12-29,97
2020-01-05,91
2020-01-12,100
2020-01-19,96
2020-01-26,93
2020-02-02,92
2020-02-09,94
2020-02-16,100
2020-02-23,85
2020-03-01,89
2020-03-08,88
