date,Learning_HK
2018-01-07,100
2018-01-14,89
2018-01-21,82
2018-01-28,98
2018-02-04,90
2018-02-11,88
2018-02-18,76
2018-02-25,86
2018-03-04,89
2018-03-11,83
2018-03-18,76
2018-03-25,85
2018-04-01,74
2018-04-08,77
2018-04-15,84
2018-04-22,84
2018-04-29,82
2018-05-06,72
2018-05-13,85
2018-05-20,58
2018-05-27,66
2018-06-03,53
2018-06-10,74
2018-06-17,70
2018-06-24,58
2018-07-01,52
2018-07-08,65
2018-07-15,72
2018-07-22,64
2018-07-29,65
2018-08-05,62
2018-08-12,55
2018-08-19,47
2018-08-26,81
2018-09-02,97
2018-09-09,71
2018-09-16,96
2018-09-23,81
2018-09-30,67
2018-10-07,83
2018-10-14,88
2018-10-21,80
2018-10-28,90
2018-11-04,81
2018-11-11,68
2018-11-18,74
2018-11-25,94
2018-12-02,100
2018-12-09,64
2018-12-16,73
2018-12-23,50
2018-12-30,70
2019-01-06,73
2019-01-13,79
2019-01-20,93
2019-01-27,84
2019-02-03,47
2019-02-10,80
2019-02-17,86
2019-02-24,86
2019-03-03,85
2019-03-10,66
2019-03-17,60
2019-03-24,85
2019-03-31,61
2019-04-07,69
2019-04-14,69
2019-04-21,87
2019-04-28,56
2019-05-05,54
2019-05-12,83
2019-05-19,71
2019-05-26,78
2019-06-02,57
2019-06-09,60
2019-06-16,42
2019-06-23,61
2019-06-30,67
2019-07-07,61
2019-07-14,68
2019-07-21,55
2019-07-28,49
2019-08-04,54
2019-08-11,52
2019-08-18,65
2019-08-25,76
2019-09-01,77
2019-09-08,100
2019-09-15,83
2019-09-22,79
2019-09-29,85
2019-10-06,78
2019-10-13,79
2019-10-20,72
2019-10-27,90
2019-11-03,92
2019-11-10,76
2019-11-17,68
2019-11-24,74
2019-12-01,68
2019-12-08,84
2019-12-15,73
2019-12-22,56
2019-12-29,56
2020-01-05,77
2020-01-12,87
2020-01-19,67
2020-01-26,50
2020-02-02,71
2020-02-09,86
2020-02-16,70
2020-02-23,90
2020-03-01,89
2020-03-08,83
