date,Crafts_CN
2018-01-07,63
2018-01-14,51
2018-01-21,39
2018-01-28,40
2018-02-04,14
2018-02-11,43
2018-02-18,20
2018-02-25,13
2018-03-04,12
2018-03-11,45
2018-03-18,23
2018-03-25,22
2018-04-01,13
2018-04-08,50
2018-04-15,50
2018-04-22,19
2018-04-29,48
2018-05-06,30
2018-05-13,49
2018-05-20,49
2018-05-27,0
2018-06-03,30
2018-06-10,29
2018-06-17,32
2018-06-24,10
2018-07-01,39
2018-07-08,29
2018-07-15,20
2018-07-22,21
2018-07-29,30
2018-08-05,30
2018-08-12,49
2018-08-19,29
2018-08-26,59
2018-09-02,37
2018-09-09,35
2018-09-16,36
2018-09-23,18
2018-09-30,44
2018-10-07,27
2018-10-14,26
2018-10-21,85
2018-10-28,26
2018-11-04,17
2018-11-11,50
2018-11-18,45
2018-11-25,100
2018-12-02,35
2018-12-09,9
2018-12-16,26
2018-12-23,27
2018-12-30,0
2019-01-06,44
2019-01-13,0
2019-01-20,34
2019-01-27,40
2019-02-03,70
2019-02-10,0
2019-02-17,11
2019-02-24,9
2019-03-03,48
2019-03-10,29
2019-03-17,28
2019-03-24,28
2019-03-31,53
2019-04-07,37
2019-04-14,70
2019-04-21,45
2019-04-28,47
2019-05-05,45
2019-05-12,19
2019-05-19,28
2019-05-26,28
2019-06-02,66
2019-06-09,38
2019-06-16,10
2019-06-23,19
2019-06-30,19
2019-07-07,0
2019-07-14,10
2019-07-21,63
2019-07-28,22
2019-08-04,32
2019-08-11,0
2019-08-18,39
2019-08-25,69
2019-09-01,19
2019-09-08,21
2019-09-15,50
2019-09-22,11
2019-09-29,49
2019-10-06,32
2019-10-13,41
2019-10-20,30
2019-10-27,31
2019-11-03,21
2019-11-10,93
2019-11-17,51
2019-11-24,31
2019-12-01,11
2019-12-08,47
2019-12-15,0
2019-12-22,56
2019-12-29,12
2020-01-05,22
2020-01-12,67
2020-01-19,0
2020-01-26,0
2020-02-02,41
2020-02-09,20
2020-02-16,0
2020-02-23,0
2020-03-01,17
2020-03-08,81
