date,Cooking_BR
2018-01-07,68
2018-01-14,65
2018-01-21,65
2018-01-28,68
2018-02-04,62
2018-02-11,71
2018-02-18,75
2018-02-25,73
2018-03-04,68
2018-03-11,73
2018-03-18,67
2018-03-25,90
2018-04-01,70
2018-04-08,60
2018-04-15,65
2018-04-22,70
2018-04-29,75
2018-05-06,73
2018-05-13,63
2018-05-20,76
2018-05-27,71
2018-06-03,75
2018-06-10,72
2018-06-17,82
2018-06-24,73
2018-07-01,77
2018-07-08,75
2018-07-15,73
2018-07-22,81
2018-07-29,72
2018-08-05,72
2018-08-12,67
2018-08-19,72
2018-08-26,67
2018-09-02,69
2018-09-09,75
2018-09-16,72
2018-09-23,61
2018-09-30,60
2018-10-07,59
2018-10-14,63
2018-10-21,64
2018-10-28,61
2018-11-04,68
2018-11-11,58
2018-11-18,70
2018-11-25,66
2018-12-02,62
2018-12-09,55
2018-12-16,59
2018-12-23,72
2018-12-30,76
2019-01-06,69
2019-01-13,67
2019-01-20,68
2019-01-27,69
2019-02-03,73
2019-02-10,81
2019-02-17,72
2019-02-24,71
2019-03-03,73
2019-03-10,73
2019-03-17,74
2019-03-24,73
2019-03-31,68
2019-04-07,65
2019-04-14,100
2019-04-21,67
2019-04-28,73
2019-05-05,68
2019-05-12,65
2019-05-19,76
2019-05-26,71
2019-06-02,75
2019-06-09,82
2019-06-16,97
2019-06-23,84
2019-06-30,82
2019-07-07,78
2019-07-14,86
2019-07-21,78
2019-07-28,78
2019-08-04,71
2019-08-11,75
2019-08-18,80
2019-08-25,75
2019-09-01,73
2019-09-08,69
2019-09-15,70
2019-09-22,65
2019-09-29,71
2019-10-06,64
2019-10-13,68
2019-10-20,64
2019-10-27,68
2019-11-03,60
2019-11-10,70
2019-11-17,60
2019-11-24,62
2019-12-01,63
2019-12-08,60
2019-12-15,61
2019-12-22,90
2019-12-29,84
2020-01-05,79
2020-01-12,85
2020-01-19,77
2020-01-26,79
2020-02-02,77
2020-02-09,70
2020-02-16,72
2020-02-23,79
2020-03-01,76
2020-03-08,69
