date,Crafts_SG
2018-01-07,62
2018-01-14,81
2018-01-21,100
2018-01-28,85
2018-02-04,100
2018-02-11,69
2018-02-18,54
2018-02-25,62
2018-03-04,66
2018-03-11,73
2018-03-18,66
2018-03-25,61
2018-04-01,67
2018-04-08,75
2018-04-15,68
2018-04-22,74
2018-04-29,86
2018-05-06,93
2018-05-13,84
2018-05-20,87
2018-05-27,53
2018-06-03,67
2018-06-10,65
2018-06-17,92
2018-06-24,71
2018-07-01,56
2018-07-08,76
2018-07-15,75
2018-07-22,67
2018-07-29,78
2018-08-05,61
2018-08-12,81
2018-08-19,59
2018-08-26,90
2018-09-02,83
2018-09-09,61
2018-09-16,75
2018-09-23,49
2018-09-30,45
2018-10-07,57
2018-10-14,83
2018-10-21,76
2018-10-28,67
2018-11-04,85
2018-11-11,85
2018-11-18,57
2018-11-25,85
2018-12-02,67
2018-12-09,78
2018-12-16,70
2018-12-23,63
2018-12-30,59
2019-01-06,40
2019-01-13,50
2019-01-20,62
2019-01-27,77
2019-02-03,74
2019-02-10,52
2019-02-17,82
2019-02-24,70
2019-03-03,82
2019-03-10,58
2019-03-17,55
2019-03-24,91
2019-03-31,69
2019-04-07,64
2019-04-14,88
2019-04-21,73
2019-04-28,67
2019-05-05,84
2019-05-12,61
2019-05-19,53
2019-05-26,56
2019-06-02,65
2019-06-09,73
2019-06-16,49
2019-06-23,77
2019-06-30,50
2019-07-07,73
2019-07-14,73
2019-07-21,65
2019-07-28,79
2019-08-04,70
2019-08-11,47
2019-08-18,51
2019-08-25,75
2019-09-01,76
2019-09-08,46
2019-09-15,58
2019-09-22,56
2019-09-29,67
2019-10-06,89
2019-10-13,77
2019-10-20,48
2019-10-27,83
2019-11-03,57
2019-11-10,78
2019-11-17,67
2019-11-24,53
2019-12-01,69
2019-12-08,70
2019-12-15,68
2019-12-22,41
2019-12-29,46
2020-01-05,55
2020-01-12,72
2020-01-19,84
2020-01-26,45
2020-02-02,52
2020-02-09,83
2020-02-16,70
2020-02-23,70
2020-03-01,54
2020-03-08,53
