date,Music_PH
2018-01-07,85
2018-01-14,91
2018-01-21,87
2018-01-28,84
2018-02-04,89
2018-02-11,91
2018-02-18,83
2018-02-25,82
2018-03-04,83
2018-03-11,83
2018-03-18,83
2018-03-25,83
2018-04-01,77
2018-04-08,77
2018-04-15,76
2018-04-22,83
2018-04-29,78
2018-05-06,80
2018-05-13,84
2018-05-20,81
2018-05-27,82
2018-06-03,100
2018-06-10,97
2018-06-17,95
2018-06-24,95
2018-07-01,94
2018-07-08,99
2018-07-15,94
2018-07-22,86
2018-07-29,92
2018-08-05,92
2018-08-12,91
2018-08-19,91
2018-08-26,92
2018-09-02,93
2018-09-09,88
2018-09-16,85
2018-09-23,87
2018-09-30,90
2018-10-07,88
2018-10-14,90
2018-10-21,83
2018-10-28,85
2018-11-04,84
2018-11-11,81
2018-11-18,85
2018-11-25,83
2018-12-02,83
2018-12-09,76
2018-12-16,78
2018-12-23,73
2018-12-30,73
2019-01-06,73
2019-01-13,80
2019-01-20,76
2019-01-27,72
2019-02-03,74
2019-02-10,71
2019-02-17,70
2019-02-24,72
2019-03-03,71
2019-03-10,71
2019-03-17,69
2019-03-24,68
2019-03-31,68
2019-04-07,65
2019-04-14,66
2019-04-21,61
2019-04-28,66
2019-05-05,57
2019-05-12,61
2019-05-19,59
2019-05-26,57
2019-06-02,81
2019-06-09,81
2019-06-16,83
2019-06-23,73
2019-06-30,72
2019-07-07,71
2019-07-14,73
2019-07-21,71
2019-07-28,71
2019-08-04,72
2019-08-11,67
2019-08-18,74
2019-08-25,66
2019-09-01,70
2019-09-08,69
2019-09-15,64
2019-09-22,67
2019-09-29,68
2019-10-06,67
2019-10-13,70
2019-10-20,66
2019-10-27,63
2019-11-03,69
2019-11-10,74
2019-11-17,68
2019-11-24,74
2019-12-01,69
2019-12-08,69
2019-12-15,69
2019-12-22,76
2019-12-29,71
2020-01-05,74
2020-01-12,71
2020-01-19,75
2020-01-26,73
2020-02-02,70
2020-02-09,68
2020-02-16,72
2020-02-23,68
2020-03-01,73
2020-03-08,66
