date,Crafts_ZA
2018-01-07,70
2018-01-14,62
2018-01-21,57
2018-01-28,83
2018-02-04,71
2018-02-11,56
2018-02-18,80
2018-02-25,56
2018-03-04,73
2018-03-11,73
2018-03-18,58
2018-03-25,78
2018-04-01,65
2018-04-08,50
2018-04-15,80
2018-04-22,74
2018-04-29,70
2018-05-06,100
2018-05-13,74
2018-05-20,86
2018-05-27,76
2018-06-03,74
2018-06-10,80
2018-06-17,81
2018-06-24,62
2018-07-01,46
2018-07-08,57
2018-07-15,59
2018-07-22,69
2018-07-29,59
2018-08-05,47
2018-08-12,65
2018-08-19,52
2018-08-26,59
2018-09-02,53
2018-09-09,68
2018-09-16,69
2018-09-23,64
2018-09-30,59
2018-10-07,75
2018-10-14,61
2018-10-21,74
2018-10-28,62
2018-11-04,83
2018-11-11,76
2018-11-18,65
2018-11-25,57
2018-12-02,53
2018-12-09,87
2018-12-16,47
2018-12-23,49
2018-12-30,33
2019-01-06,52
2019-01-13,50
2019-01-20,77
2019-01-27,63
2019-02-03,62
2019-02-10,68
2019-02-17,59
2019-02-24,77
2019-03-03,65
2019-03-10,50
2019-03-17,64
2019-03-24,71
2019-03-31,66
2019-04-07,69
2019-04-14,74
2019-04-21,63
2019-04-28,68
2019-05-05,77
2019-05-12,74
2019-05-19,85
2019-05-26,71
2019-06-02,72
2019-06-09,78
2019-06-16,56
2019-06-23,66
2019-06-30,66
2019-07-07,62
2019-07-14,56
2019-07-21,60
2019-07-28,66
2019-08-04,65
2019-08-11,72
2019-08-18,51
2019-08-25,71
2019-09-01,42
2019-09-08,74
2019-09-15,57
2019-09-22,55
2019-09-29,47
2019-10-06,77
2019-10-13,71
2019-10-20,51
2019-10-27,58
2019-11-03,59
2019-11-10,70
2019-11-17,73
2019-11-24,49
2019-12-01,70
2019-12-08,61
2019-12-15,59
2019-12-22,57
2019-12-29,47
2020-01-05,56
2020-01-12,48
2020-01-19,55
2020-01-26,47
2020-02-02,50
2020-02-09,58
2020-02-16,57
2020-02-23,60
2020-03-01,49
2020-03-08,60
