date,Game_RO
2018-01-07,100
2018-01-14,75
2018-01-21,83
2018-01-28,86
2018-02-04,96
2018-02-11,79
2018-02-18,80
2018-02-25,82
2018-03-04,75
2018-03-11,74
2018-03-18,73
2018-03-25,72
2018-04-01,79
2018-04-08,70
2018-04-15,58
2018-04-22,59
2018-04-29,62
2018-05-06,56
2018-05-13,58
2018-05-20,53
2018-05-27,64
2018-06-03,59
2018-06-10,63
2018-06-17,61
2018-06-24,60
2018-07-01,55
2018-07-08,62
2018-07-15,58
2018-07-22,58
2018-07-29,53
2018-08-05,53
2018-08-12,55
2018-08-19,56
2018-08-26,56
2018-09-02,54
2018-09-09,52
2018-09-16,50
2018-09-23,53
2018-09-30,56
2018-10-07,55
2018-10-14,57
2018-10-21,54
2018-10-28,65
2018-11-04,60
2018-11-11,59
2018-11-18,64
2018-11-25,66
2018-12-02,68
2018-12-09,66
2018-12-16,69
2018-12-23,84
2018-12-30,75
2019-01-06,68
2019-01-13,58
2019-01-20,67
2019-01-27,62
2019-02-03,63
2019-02-10,51
2019-02-17,55
2019-02-24,47
2019-03-03,48
2019-03-10,48
2019-03-17,49
2019-03-24,46
2019-03-31,50
2019-04-07,48
2019-04-14,51
2019-04-21,55
2019-04-28,56
2019-05-05,49
2019-05-12,46
2019-05-19,48
2019-05-26,43
2019-06-02,45
2019-06-09,45
2019-06-16,46
2019-06-23,50
2019-06-30,48
2019-07-07,47
2019-07-14,45
2019-07-21,42
2019-07-28,48
2019-08-04,45
2019-08-11,46
2019-08-18,44
2019-08-25,43
2019-09-01,43
2019-09-08,41
2019-09-15,45
2019-09-22,45
2019-09-29,45
2019-10-06,45
2019-10-13,44
2019-10-20,47
2019-10-27,50
2019-11-03,50
2019-11-10,46
2019-11-17,51
2019-11-24,56
2019-12-01,56
2019-12-08,58
2019-12-15,62
2019-12-22,74
2019-12-29,72
2020-01-05,57
2020-01-12,52
2020-01-19,53
2020-01-26,52
2020-02-02,52
2020-02-09,54
2020-02-16,50
2020-02-23,49
2020-03-01,57
2020-03-08,53
