date,Pets_US
2018-01-07,82
2018-01-14,82
2018-01-21,82
2018-01-28,82
2018-02-04,82
2018-02-11,81
2018-02-18,88
2018-02-25,81
2018-03-04,84
2018-03-11,82
2018-03-18,84
2018-03-25,85
2018-04-01,85
2018-04-08,88
2018-04-15,83
2018-04-22,80
2018-04-29,83
2018-05-06,83
2018-05-13,83
2018-05-20,88
2018-05-27,90
2018-06-03,89
2018-06-10,87
2018-06-17,90
2018-06-24,90
2018-07-01,94
2018-07-08,91
2018-07-15,92
2018-07-22,90
2018-07-29,90
2018-08-05,89
2018-08-12,87
2018-08-19,86
2018-08-26,84
2018-09-02,84
2018-09-09,79
2018-09-16,79
2018-09-23,80
2018-09-30,80
2018-10-07,78
2018-10-14,79
2018-10-21,74
2018-10-28,76
2018-11-04,79
2018-11-11,83
2018-11-18,87
2018-11-25,83
2018-12-02,86
2018-12-09,86
2018-12-16,91
2018-12-23,92
2018-12-30,87
2019-01-06,82
2019-01-13,80
2019-01-20,83
2019-01-27,80
2019-02-03,79
2019-02-10,78
2019-02-17,92
2019-02-24,82
2019-03-03,81
2019-03-10,82
2019-03-17,83
2019-03-24,84
2019-03-31,85
2019-04-07,100
2019-04-14,87
2019-04-21,86
2019-04-28,83
2019-05-05,84
2019-05-12,86
2019-05-19,86
2019-05-26,88
2019-06-02,87
2019-06-09,90
2019-06-16,92
2019-06-23,93
2019-06-30,98
2019-07-07,95
2019-07-14,89
2019-07-21,90
2019-07-28,90
2019-08-04,87
2019-08-11,89
2019-08-18,85
2019-08-25,87
2019-09-01,84
2019-09-08,82
2019-09-15,79
2019-09-22,81
2019-09-29,79
2019-10-06,80
2019-10-13,81
2019-10-20,80
2019-10-27,77
2019-11-03,83
2019-11-10,78
2019-11-17,81
2019-11-24,87
2019-12-01,84
2019-12-08,85
2019-12-15,86
2019-12-22,92
2019-12-29,87
2020-01-05,86
2020-01-12,84
2020-01-19,88
2020-01-26,82
2020-02-02,85
2020-02-09,85
2020-02-16,96
2020-02-23,89
2020-03-01,88
2020-03-08,83
