date,Learning_JP
2018-01-07,81
2018-01-14,80
2018-01-21,80
2018-01-28,71
2018-02-04,77
2018-02-11,65
2018-02-18,71
2018-02-25,72
2018-03-04,72
2018-03-11,64
2018-03-18,61
2018-03-25,71
2018-04-01,74
2018-04-08,77
2018-04-15,91
2018-04-22,85
2018-04-29,58
2018-05-06,100
2018-05-13,81
2018-05-20,85
2018-05-27,84
2018-06-03,81
2018-06-10,90
2018-06-17,72
2018-06-24,68
2018-07-01,79
2018-07-08,90
2018-07-15,85
2018-07-22,83
2018-07-29,71
2018-08-05,76
2018-08-12,46
2018-08-19,72
2018-08-26,67
2018-09-02,67
2018-09-09,64
2018-09-16,69
2018-09-23,73
2018-09-30,78
2018-10-07,78
2018-10-14,82
2018-10-21,84
2018-10-28,99
2018-11-04,86
2018-11-11,88
2018-11-18,80
2018-11-25,75
2018-12-02,84
2018-12-09,62
2018-12-16,71
2018-12-23,64
2018-12-30,35
2019-01-06,81
2019-01-13,75
2019-01-20,77
2019-01-27,44
2019-02-03,37
2019-02-10,45
2019-02-17,44
2019-02-24,45
2019-03-03,37
2019-03-10,44
2019-03-17,33
2019-03-24,40
2019-03-31,61
2019-04-07,87
2019-04-14,88
2019-04-21,76
2019-04-28,34
2019-05-05,81
2019-05-12,89
2019-05-19,90
2019-05-26,80
2019-06-02,88
2019-06-09,75
2019-06-16,82
2019-06-23,78
2019-06-30,79
2019-07-07,90
2019-07-14,62
2019-07-21,81
2019-07-28,65
2019-08-04,60
2019-08-11,45
2019-08-18,78
2019-08-25,68
2019-09-01,75
2019-09-08,75
2019-09-15,63
2019-09-22,70
2019-09-29,74
2019-10-06,78
2019-10-13,75
2019-10-20,67
2019-10-27,81
2019-11-03,73
2019-11-10,70
2019-11-17,77
2019-11-24,73
2019-12-01,84
2019-12-08,73
2019-12-15,69
2019-12-22,67
2019-12-29,38
2020-01-05,79
2020-01-12,67
2020-01-19,81
2020-01-26,79
2020-02-02,79
2020-02-09,66
2020-02-16,64
2020-02-23,65
2020-03-01,55
2020-03-08,60
