date,Learning_US
2018-01-07,90
2018-01-14,90
2018-01-21,97
2018-01-28,98
2018-02-04,96
2018-02-11,98
2018-02-18,95
2018-02-25,95
2018-03-04,98
2018-03-11,88
2018-03-18,91
2018-03-25,84
2018-04-01,88
2018-04-08,92
2018-04-15,92
2018-04-22,94
2018-04-29,93
2018-05-06,90
2018-05-13,84
2018-05-20,82
2018-05-27,77
2018-06-03,79
2018-06-10,78
2018-06-17,73
2018-06-24,70
2018-07-01,66
2018-07-08,72
2018-07-15,75
2018-07-22,76
2018-07-29,75
2018-08-05,79
2018-08-12,86
2018-08-19,92
2018-08-26,97
2018-09-02,93
2018-09-09,98
2018-09-16,99
2018-09-23,98
2018-09-30,100
2018-10-07,96
2018-10-14,95
2018-10-21,94
2018-10-28,96
2018-11-04,93
2018-11-11,93
2018-11-18,70
2018-11-25,96
2018-12-02,98
2018-12-09,95
2018-12-16,76
2018-12-23,55
2018-12-30,68
2019-01-06,89
2019-01-13,93
2019-01-20,92
2019-01-27,94
2019-02-03,93
2019-02-10,91
2019-02-17,92
2019-02-24,98
2019-03-03,95
2019-03-10,90
2019-03-17,85
2019-03-24,87
2019-03-31,92
2019-04-07,94
2019-04-14,83
2019-04-21,88
2019-04-28,88
2019-05-05,85
2019-05-12,86
2019-05-19,80
2019-05-26,74
2019-06-02,79
2019-06-09,73
2019-06-16,73
2019-06-23,71
2019-06-30,63
2019-07-07,71
2019-07-14,69
2019-07-21,69
2019-07-28,68
2019-08-04,76
2019-08-11,81
2019-08-18,87
2019-08-25,94
2019-09-01,91
2019-09-08,94
2019-09-15,98
2019-09-22,95
2019-09-29,98
2019-10-06,96
2019-10-13,91
2019-10-20,95
2019-10-27,90
2019-11-03,92
2019-11-10,91
2019-11-17,93
2019-11-24,67
2019-12-01,91
2019-12-08,91
2019-12-15,79
2019-12-22,53
2019-12-29,60
2020-01-05,87
2020-01-12,93
2020-01-19,90
2020-01-26,93
2020-02-02,91
2020-02-09,93
2020-02-16,88
2020-02-23,93
2020-03-01,92
2020-03-08,84
