date,Game_SE
2018-01-07,74
2018-01-14,72
2018-01-21,77
2018-01-28,76
2018-02-04,75
2018-02-11,78
2018-02-18,77
2018-02-25,71
2018-03-04,76
2018-03-11,72
2018-03-18,68
2018-03-25,78
2018-04-01,75
2018-04-08,67
2018-04-15,67
2018-04-22,73
2018-04-29,70
2018-05-06,63
2018-05-13,61
2018-05-20,63
2018-05-27,64
2018-06-03,65
2018-06-10,70
2018-06-17,80
2018-06-24,72
2018-07-01,71
2018-07-08,64
2018-07-15,60
2018-07-22,64
2018-07-29,64
2018-08-05,67
2018-08-12,65
2018-08-19,65
2018-08-26,71
2018-09-02,67
2018-09-09,68
2018-09-16,76
2018-09-23,72
2018-09-30,78
2018-10-07,75
2018-10-14,73
2018-10-21,81
2018-10-28,76
2018-11-04,85
2018-11-11,76
2018-11-18,79
2018-11-25,81
2018-12-02,86
2018-12-09,86
2018-12-16,86
2018-12-23,100
2018-12-30,97
2019-01-06,83
2019-01-13,82
2019-01-20,83
2019-01-27,49
2019-02-03,47
2019-02-10,47
2019-02-17,44
2019-02-24,42
2019-03-03,42
2019-03-10,46
2019-03-17,44
2019-03-24,39
2019-03-31,68
2019-04-07,69
2019-04-14,65
2019-04-21,66
2019-04-28,68
2019-05-05,62
2019-05-12,61
2019-05-19,59
2019-05-26,68
2019-06-02,67
2019-06-09,66
2019-06-16,66
2019-06-23,64
2019-06-30,64
2019-07-07,66
2019-07-14,65
2019-07-21,62
2019-07-28,72
2019-08-04,67
2019-08-11,67
2019-08-18,63
2019-08-25,72
2019-09-01,64
2019-09-08,72
2019-09-15,74
2019-09-22,74
2019-09-29,76
2019-10-06,71
2019-10-13,78
2019-10-20,80
2019-10-27,77
2019-11-03,83
2019-11-10,93
2019-11-17,86
2019-11-24,90
2019-12-01,93
2019-12-08,90
2019-12-15,89
2019-12-22,92
2019-12-29,82
2020-01-05,67
2020-01-12,74
2020-01-19,77
2020-01-26,71
2020-02-02,82
2020-02-09,80
2020-02-16,77
2020-02-23,77
2020-03-01,77
2020-03-08,70
