date,Learning_BD
2018-01-07,89
2018-01-14,62
2018-01-21,64
2018-01-28,72
2018-02-04,86
2018-02-11,68
2018-02-18,73
2018-02-25,96
2018-03-04,87
2018-03-11,92
2018-03-18,86
2018-03-25,68
2018-04-01,99
2018-04-08,69
2018-04-15,82
2018-04-22,72
2018-04-29,82
2018-05-06,70
2018-05-13,66
2018-05-20,89
2018-05-27,80
2018-06-03,70
2018-06-10,37
2018-06-17,48
2018-06-24,50
2018-07-01,70
2018-07-08,68
2018-07-15,78
2018-07-22,84
2018-07-29,67
2018-08-05,67
2018-08-12,66
2018-08-19,59
2018-08-26,71
2018-09-02,78
2018-09-09,76
2018-09-16,64
2018-09-23,62
2018-09-30,61
2018-10-07,52
2018-10-14,64
2018-10-21,70
2018-10-28,73
2018-11-04,65
2018-11-11,74
2018-11-18,81
2018-11-25,72
2018-12-02,75
2018-12-09,45
2018-12-16,67
2018-12-23,61
2018-12-30,62
2019-01-06,70
2019-01-13,65
2019-01-20,80
2019-01-27,64
2019-02-03,87
2019-02-10,87
2019-02-17,55
2019-02-24,57
2019-03-03,71
2019-03-10,92
2019-03-17,81
2019-03-24,86
2019-03-31,93
2019-04-07,69
2019-04-14,81
2019-04-21,72
2019-04-28,70
2019-05-05,71
2019-05-12,60
2019-05-19,60
2019-05-26,62
2019-06-02,46
2019-06-09,57
2019-06-16,54
2019-06-23,76
2019-06-30,72
2019-07-07,62
2019-07-14,75
2019-07-21,70
2019-07-28,77
2019-08-04,64
2019-08-11,46
2019-08-18,82
2019-08-25,88
2019-09-01,73
2019-09-08,75
2019-09-15,71
2019-09-22,71
2019-09-29,79
2019-10-06,77
2019-10-13,99
2019-10-20,72
2019-10-27,68
2019-11-03,83
2019-11-10,71
2019-11-17,74
2019-11-24,86
2019-12-01,70
2019-12-08,86
2019-12-15,79
2019-12-22,86
2019-12-29,55
2020-01-05,87
2020-01-12,68
2020-01-19,93
2020-01-26,70
2020-02-02,100
2020-02-09,85
2020-02-16,92
2020-02-23,71
2020-03-01,93
2020-03-08,76
