date,Collecting_BE
2018-01-07,46
2018-01-14,80
2018-01-21,100
2018-01-28,76
2018-02-04,84
2018-02-11,91
2018-02-18,47
2018-02-25,25
2018-03-04,62
2018-03-11,97
2018-03-18,52
2018-03-25,48
2018-04-01,57
2018-04-08,43
2018-04-15,71
2018-04-22,67
2018-04-29,89
2018-05-06,79
2018-05-13,86
2018-05-20,47
2018-05-27,53
2018-06-03,85
2018-06-10,63
2018-06-17,69
2018-06-24,48
2018-07-01,55
2018-07-08,68
2018-07-15,82
2018-07-22,46
2018-07-29,84
2018-08-05,86
2018-08-12,83
2018-08-19,81
2018-08-26,76
2018-09-02,85
2018-09-09,65
2018-09-16,64
2018-09-23,31
2018-09-30,68
2018-10-07,65
2018-10-14,56
2018-10-21,63
2018-10-28,92
2018-11-04,41
2018-11-11,75
2018-11-18,50
2018-11-25,35
2018-12-02,89
2018-12-09,77
2018-12-16,52
2018-12-23,46
2018-12-30,92
2019-01-06,90
2019-01-13,55
2019-01-20,39
2019-01-27,48
2019-02-03,45
2019-02-10,55
2019-02-17,36
2019-02-24,30
2019-03-03,41
2019-03-10,35
2019-03-17,26
2019-03-24,26
2019-03-31,50
2019-04-07,85
2019-04-14,65
2019-04-21,83
2019-04-28,77
2019-05-05,62
2019-05-12,49
2019-05-19,49
2019-05-26,68
2019-06-02,41
2019-06-09,57
2019-06-16,59
2019-06-23,47
2019-06-30,58
2019-07-07,47
2019-07-14,66
2019-07-21,57
2019-07-28,71
2019-08-04,59
2019-08-11,68
2019-08-18,42
2019-08-25,82
2019-09-01,30
2019-09-08,55
2019-09-15,90
2019-09-22,33
2019-09-29,61
2019-10-06,51
2019-10-13,52
2019-10-20,85
2019-10-27,44
2019-11-03,51
2019-11-10,67
2019-11-17,80
2019-11-24,81
2019-12-01,28
2019-12-08,63
2019-12-15,83
2019-12-22,95
2019-12-29,89
2020-01-05,92
2020-01-12,64
2020-01-19,72
2020-01-26,67
2020-02-02,76
2020-02-09,57
2020-02-16,83
2020-02-23,44
2020-03-01,47
2020-03-08,54
