date,Cooking_IL
2018-01-07,68
2018-01-14,82
2018-01-21,79
2018-01-28,91
2018-02-04,69
2018-02-11,59
2018-02-18,54
2018-02-25,57
2018-03-04,63
2018-03-11,51
2018-03-18,63
2018-03-25,93
2018-04-01,65
2018-04-08,67
2018-04-15,58
2018-04-22,54
2018-04-29,69
2018-05-06,66
2018-05-13,76
2018-05-20,70
2018-05-27,86
2018-06-03,66
2018-06-10,56
2018-06-17,59
2018-06-24,65
2018-07-01,73
2018-07-08,62
2018-07-15,62
2018-07-22,71
2018-07-29,50
2018-08-05,54
2018-08-12,67
2018-08-19,64
2018-08-26,68
2018-09-02,87
2018-09-09,61
2018-09-16,76
2018-09-23,66
2018-09-30,67
2018-10-07,79
2018-10-14,58
2018-10-21,84
2018-10-28,72
2018-11-04,69
2018-11-11,66
2018-11-18,80
2018-11-25,79
2018-12-02,71
2018-12-09,58
2018-12-16,76
2018-12-23,94
2018-12-30,81
2019-01-06,75
2019-01-13,69
2019-01-20,64
2019-01-27,66
2019-02-03,55
2019-02-10,80
2019-02-17,66
2019-02-24,73
2019-03-03,61
2019-03-10,72
2019-03-17,57
2019-03-24,51
2019-03-31,67
2019-04-07,56
2019-04-14,97
2019-04-21,85
2019-04-28,45
2019-05-05,54
2019-05-12,61
2019-05-19,70
2019-05-26,63
2019-06-02,67
2019-06-09,55
2019-06-16,61
2019-06-23,80
2019-06-30,76
2019-07-07,61
2019-07-14,57
2019-07-21,60
2019-07-28,65
2019-08-04,62
2019-08-11,62
2019-08-18,61
2019-08-25,54
2019-09-01,74
2019-09-08,63
2019-09-15,76
2019-09-22,97
2019-09-29,76
2019-10-06,100
2019-10-13,75
2019-10-20,76
2019-10-27,74
2019-11-03,78
2019-11-10,65
2019-11-17,83
2019-11-24,76
2019-12-01,77
2019-12-08,71
2019-12-15,67
2019-12-22,80
2019-12-29,79
2020-01-05,84
2020-01-12,87
2020-01-19,89
2020-01-26,71
2020-02-02,75
2020-02-09,71
2020-02-16,75
2020-02-23,76
2020-03-01,55
2020-03-08,57
