date,Crafts_PL
2018-01-07,23
2018-01-14,33
2018-01-21,41
2018-01-28,35
2018-02-04,40
2018-02-11,39
2018-02-18,42
2018-02-25,49
2018-03-04,36
2018-03-11,33
2018-03-18,28
2018-03-25,20
2018-04-01,25
2018-04-08,23
2018-04-15,30
2018-04-22,28
2018-04-29,36
2018-05-06,24
2018-05-13,27
2018-05-20,34
2018-05-27,20
2018-06-03,42
2018-06-10,27
2018-06-17,29
2018-06-24,28
2018-07-01,21
2018-07-08,25
2018-07-15,41
2018-07-22,33
2018-07-29,22
2018-08-05,25
2018-08-12,18
2018-08-19,31
2018-08-26,34
2018-09-02,39
2018-09-09,28
2018-09-16,32
2018-09-23,31
2018-09-30,25
2018-10-07,32
2018-10-14,36
2018-10-21,25
2018-10-28,16
2018-11-04,38
2018-11-11,31
2018-11-18,31
2018-11-25,30
2018-12-02,35
2018-12-09,47
2018-12-16,30
2018-12-23,28
2018-12-30,30
2019-01-06,33
2019-01-13,26
2019-01-20,35
2019-01-27,68
2019-02-03,84
2019-02-10,79
2019-02-17,100
2019-02-24,78
2019-03-03,81
2019-03-10,87
2019-03-17,72
2019-03-24,87
2019-03-31,22
2019-04-07,36
2019-04-14,29
2019-04-21,16
2019-04-28,31
2019-05-05,25
2019-05-12,38
2019-05-19,25
2019-05-26,23
2019-06-02,41
2019-06-09,34
2019-06-16,45
2019-06-23,42
2019-06-30,30
2019-07-07,33
2019-07-14,52
2019-07-21,31
2019-07-28,32
2019-08-04,39
2019-08-11,34
2019-08-18,53
2019-08-25,45
2019-09-01,32
2019-09-08,40
2019-09-15,27
2019-09-22,41
2019-09-29,27
2019-10-06,37
2019-10-13,35
2019-10-20,22
2019-10-27,26
2019-11-03,35
2019-11-10,47
2019-11-17,32
2019-11-24,36
2019-12-01,27
2019-12-08,28
2019-12-15,27
2019-12-22,20
2019-12-29,41
2020-01-05,31
2020-01-12,40
2020-01-19,27
2020-01-26,22
2020-02-02,35
2020-02-09,40
2020-02-16,31
2020-02-23,45
2020-03-01,27
2020-03-08,40
