date,Arts_NG
2018-01-07,58
2018-01-14,64
2018-01-21,69
2018-01-28,59
2018-02-04,54
2018-02-11,52
2018-02-18,48
2018-02-25,52
2018-03-04,51
2018-03-11,55
2018-03-18,44
2018-03-25,54
2018-04-01,43
2018-04-08,36
2018-04-15,36
2018-04-22,52
2018-04-29,49
2018-05-06,47
2018-05-13,44
2018-05-20,43
2018-05-27,44
2018-06-03,50
2018-06-10,48
2018-06-17,44
2018-06-24,41
2018-07-01,51
2018-07-08,50
2018-07-15,43
2018-07-22,53
2018-07-29,51
2018-08-05,42
2018-08-12,36
2018-08-19,34
2018-08-26,49
2018-09-02,40
2018-09-09,54
2018-09-16,66
2018-09-23,61
2018-09-30,42
2018-10-07,54
2018-10-14,50
2018-10-21,47
2018-10-28,40
2018-11-04,52
2018-11-11,49
2018-11-18,47
2018-11-25,50
2018-12-02,46
2018-12-09,37
2018-12-16,32
2018-12-23,36
2018-12-30,41
2019-01-06,58
2019-01-13,70
2019-01-20,58
2019-01-27,50
2019-02-03,57
2019-02-10,43
2019-02-17,46
2019-02-24,37
2019-03-03,35
2019-03-10,40
2019-03-17,46
2019-03-24,37
2019-03-31,39
2019-04-07,35
2019-04-14,38
2019-04-21,35
2019-04-28,49
2019-05-05,58
2019-05-12,71
2019-05-19,46
2019-05-26,48
2019-06-02,45
2019-06-09,48
2019-06-16,51
2019-06-23,47
2019-06-30,48
2019-07-07,50
2019-07-14,43
2019-07-21,41
2019-07-28,39
2019-08-04,35
2019-08-11,44
2019-08-18,43
2019-08-25,41
2019-09-01,47
2019-09-08,63
2019-09-15,49
2019-09-22,62
2019-09-29,59
2019-10-06,58
2019-10-13,56
2019-10-20,58
2019-10-27,59
2019-11-03,53
2019-11-10,62
2019-11-17,48
2019-11-24,45
2019-12-01,45
2019-12-08,38
2019-12-15,32
2019-12-22,31
2019-12-29,35
2020-01-05,56
2020-01-12,67
2020-01-19,100
2020-01-26,63
2020-02-02,62
2020-02-09,56
2020-02-16,54
2020-02-23,47
2020-03-01,52
2020-03-08,42
