date,Arts_PT
2018-01-07,87
2018-01-14,100
2018-01-21,71
2018-01-28,84
2018-02-04,70
2018-02-11,67
2018-02-18,83
2018-02-25,88
2018-03-04,88
2018-03-11,79
2018-03-18,84
2018-03-25,68
2018-04-01,81
2018-04-08,97
2018-04-15,81
2018-04-22,77
2018-04-29,83
2018-05-06,95
2018-05-13,86
2018-05-20,92
2018-05-27,82
2018-06-03,88
2018-06-10,90
2018-06-17,72
2018-06-24,76
2018-07-01,79
2018-07-08,74
2018-07-15,72
2018-07-22,84
2018-07-29,65
2018-08-05,62
2018-08-12,69
2018-08-19,55
2018-08-26,74
2018-09-02,69
2018-09-09,88
2018-09-16,75
2018-09-23,86
2018-09-30,87
2018-10-07,86
2018-10-14,83
2018-10-21,93
2018-10-28,72
2018-11-04,81
2018-11-11,75
2018-11-18,84
2018-11-25,93
2018-12-02,82
2018-12-09,67
2018-12-16,57
2018-12-23,69
2018-12-30,65
2019-01-06,78
2019-01-13,86
2019-01-20,78
2019-01-27,68
2019-02-03,71
2019-02-10,65
2019-02-17,71
2019-02-24,76
2019-03-03,63
2019-03-10,72
2019-03-17,72
2019-03-24,69
2019-03-31,77
2019-04-07,79
2019-04-14,76
2019-04-21,67
2019-04-28,74
2019-05-05,88
2019-05-12,98
2019-05-19,80
2019-05-26,88
2019-06-02,84
2019-06-09,75
2019-06-16,90
2019-06-23,76
2019-06-30,64
2019-07-07,75
2019-07-14,78
2019-07-21,72
2019-07-28,59
2019-08-04,55
2019-08-11,51
2019-08-18,59
2019-08-25,62
2019-09-01,69
2019-09-08,85
2019-09-15,79
2019-09-22,83
2019-09-29,84
2019-10-06,77
2019-10-13,93
2019-10-20,84
2019-10-27,78
2019-11-03,93
2019-11-10,94
2019-11-17,75
2019-11-24,72
2019-12-01,87
2019-12-08,95
2019-12-15,63
2019-12-22,70
2019-12-29,65
2020-01-05,83
2020-01-12,83
2020-01-19,84
2020-01-26,88
2020-02-02,69
2020-02-09,78
2020-02-16,75
2020-02-23,75
2020-03-01,79
2020-03-08,78
