date,Arts_FR
2018-01-07,84
2018-01-14,97
2018-01-21,100
2018-01-28,92
2018-02-04,87
2018-02-11,90
2018-02-18,85
2018-02-25,82
2018-03-04,94
2018-03-11,87
2018-03-18,90
2018-03-25,91
2018-04-01,92
2018-04-08,86
2018-04-15,78
2018-04-22,75
2018-04-29,82
2018-05-06,79
2018-05-13,83
2018-05-20,90
2018-05-27,85
2018-06-03,78
2018-06-10,75
2018-06-17,71
2018-06-24,65
2018-07-01,62
2018-07-08,58
2018-07-15,58
2018-07-22,62
2018-07-29,57
2018-08-05,60
2018-08-12,60
2018-08-19,67
2018-08-26,69
2018-09-02,90
2018-09-09,94
2018-09-16,88
2018-09-23,86
2018-09-30,88
2018-10-07,83
2018-10-14,90
2018-10-21,78
2018-10-28,76
2018-11-04,83
2018-11-11,87
2018-11-18,80
2018-11-25,80
2018-12-02,76
2018-12-09,72
2018-12-16,75
2018-12-23,59
2018-12-30,65
2019-01-06,79
2019-01-13,80
2019-01-20,78
2019-01-27,88
2019-02-03,84
2019-02-10,90
2019-02-17,82
2019-02-24,87
2019-03-03,89
2019-03-10,91
2019-03-17,84
2019-03-24,88
2019-03-31,87
2019-04-07,82
2019-04-14,72
2019-04-21,72
2019-04-28,75
2019-05-05,78
2019-05-12,82
2019-05-19,78
2019-05-26,71
2019-06-02,71
2019-06-09,70
2019-06-16,70
2019-06-23,62
2019-06-30,65
2019-07-07,59
2019-07-14,60
2019-07-21,57
2019-07-28,59
2019-08-04,58
2019-08-11,59
2019-08-18,61
2019-08-25,68
2019-09-01,81
2019-09-08,86
2019-09-15,88
2019-09-22,85
2019-09-29,87
2019-10-06,81
2019-10-13,82
2019-10-20,73
2019-10-27,71
2019-11-03,83
2019-11-10,82
2019-11-17,83
2019-11-24,79
2019-12-01,75
2019-12-08,78
2019-12-15,73
2019-12-22,58
2019-12-29,66
2020-01-05,80
2020-01-12,78
2020-01-19,81
2020-01-26,82
2020-02-02,89
2020-02-09,76
2020-02-16,77
2020-02-23,81
2020-03-01,84
2020-03-08,72
