date,Collecting_US
2018-01-07,71
2018-01-14,72
2018-01-21,81
2018-01-28,75
2018-02-04,73
2018-02-11,70
2018-02-18,68
2018-02-25,69
2018-03-04,84
2018-03-11,68
2018-03-18,75
2018-03-25,85
2018-04-01,78
2018-04-08,74
2018-04-15,84
2018-04-22,78
2018-04-29,69
2018-05-06,67
2018-05-13,70
2018-05-20,67
2018-05-27,86
2018-06-03,68
2018-06-10,84
2018-06-17,62
2018-06-24,76
2018-07-01,75
2018-07-08,79
2018-07-15,78
2018-07-22,75
2018-07-29,86
2018-08-05,77
2018-08-12,77
2018-08-19,72
2018-08-26,71
2018-09-02,72
2018-09-09,72
2018-09-16,76
2018-09-23,67
2018-09-30,73
2018-10-07,78
2018-10-14,69
2018-10-21,72
2018-10-28,71
2018-11-04,75
2018-11-11,76
2018-11-18,82
2018-11-25,82
2018-12-02,77
2018-12-09,87
2018-12-16,73
2018-12-23,80
2018-12-30,80
2019-01-06,70
2019-01-13,74
2019-01-20,77
2019-01-27,81
2019-02-03,77
2019-02-10,94
2019-02-17,88
2019-02-24,69
2019-03-03,78
2019-03-10,73
2019-03-17,68
2019-03-24,74
2019-03-31,81
2019-04-07,69
2019-04-14,76
2019-04-21,81
2019-04-28,79
2019-05-05,80
2019-05-12,72
2019-05-19,68
2019-05-26,75
2019-06-02,79
2019-06-09,100
2019-06-16,79
2019-06-23,76
2019-06-30,74
2019-07-07,69
2019-07-14,73
2019-07-21,82
2019-07-28,78
2019-08-04,73
2019-08-11,80
2019-08-18,74
2019-08-25,71
2019-09-01,79
2019-09-08,73
2019-09-15,73
2019-09-22,82
2019-09-29,77
2019-10-06,76
2019-10-13,75
2019-10-20,72
2019-10-27,70
2019-11-03,82
2019-11-10,79
2019-11-17,84
2019-11-24,87
2019-12-01,89
2019-12-08,86
2019-12-15,87
2019-12-22,74
2019-12-29,78
2020-01-05,79
2020-01-12,87
2020-01-19,86
2020-01-26,86
2020-02-02,74
2020-02-09,74
2020-02-16,82
2020-02-23,84
2020-03-01,84
2020-03-08,73
