date,Sports_CH
2018-01-07,54
2018-01-14,64
2018-01-21,75
2018-01-28,64
2018-02-04,56
2018-02-11,72
2018-02-18,78
2018-02-25,57
2018-03-04,61
2018-03-11,69
2018-03-18,55
2018-03-25,49
2018-04-01,67
2018-04-08,60
2018-04-15,53
2018-04-22,60
2018-04-29,56
2018-05-06,60
2018-05-13,59
2018-05-20,59
2018-05-27,59
2018-06-03,59
2018-06-10,70
2018-06-17,100
2018-06-24,97
2018-07-01,97
2018-07-08,70
2018-07-15,57
2018-07-22,58
2018-07-29,57
2018-08-05,56
2018-08-12,65
2018-08-19,57
2018-08-26,63
2018-09-02,55
2018-09-09,54
2018-09-16,68
2018-09-23,55
2018-09-30,62
2018-10-07,50
2018-10-14,45
2018-10-21,56
2018-10-28,54
2018-11-04,56
2018-11-11,54
2018-11-18,59
2018-11-25,54
2018-12-02,49
2018-12-09,58
2018-12-16,55
2018-12-23,49
2018-12-30,54
2019-01-06,53
2019-01-13,70
2019-01-20,66
2019-01-27,68
2019-02-03,67
2019-02-10,83
2019-02-17,65
2019-02-24,57
2019-03-03,66
2019-03-10,74
2019-03-17,62
2019-03-24,61
2019-03-31,60
2019-04-07,57
2019-04-14,60
2019-04-21,54
2019-04-28,58
2019-05-05,61
2019-05-12,62
2019-05-19,59
2019-05-26,63
2019-06-02,72
2019-06-09,58
2019-06-16,55
2019-06-23,56
2019-06-30,59
2019-07-07,63
2019-07-14,56
2019-07-21,59
2019-07-28,52
2019-08-04,49
2019-08-11,59
2019-08-18,60
2019-08-25,63
2019-09-01,62
2019-09-08,61
2019-09-15,58
2019-09-22,56
2019-09-29,60
2019-10-06,59
2019-10-13,62
2019-10-20,63
2019-10-27,60
2019-11-03,67
2019-11-10,65
2019-11-17,59
2019-11-24,60
2019-12-01,62
2019-12-08,64
2019-12-15,70
2019-12-22,58
2019-12-29,51
2020-01-05,67
2020-01-12,60
2020-01-19,67
2020-01-26,74
2020-02-02,65
2020-02-09,60
2020-02-16,70
2020-02-23,61
2020-03-01,54
2020-03-08,49
