date,Learning_BR
2018-01-07,53
2018-01-14,57
2018-01-21,52
2018-01-28,60
2018-02-04,57
2018-02-11,56
2018-02-18,71
2018-02-25,68
2018-03-04,66
2018-03-11,71
2018-03-18,60
2018-03-25,70
2018-04-01,65
2018-04-08,67
2018-04-15,64
2018-04-22,77
2018-04-29,58
2018-05-06,71
2018-05-13,60
2018-05-20,68
2018-05-27,66
2018-06-03,58
2018-06-10,61
2018-06-17,72
2018-06-24,64
2018-07-01,59
2018-07-08,63
2018-07-15,73
2018-07-22,64
2018-07-29,74
2018-08-05,68
2018-08-12,87
2018-08-19,76
2018-08-26,91
2018-09-02,84
2018-09-09,74
2018-09-16,81
2018-09-23,74
2018-09-30,67
2018-10-07,59
2018-10-14,86
2018-10-21,63
2018-10-28,58
2018-11-04,54
2018-11-11,55
2018-11-18,69
2018-11-25,75
2018-12-02,56
2018-12-09,58
2018-12-16,57
2018-12-23,55
2018-12-30,44
2019-01-06,55
2019-01-13,64
2019-01-20,56
2019-01-27,76
2019-02-03,100
2019-02-10,70
2019-02-17,89
2019-02-24,73
2019-03-03,69
2019-03-10,81
2019-03-17,85
2019-03-24,91
2019-03-31,83
2019-04-07,67
2019-04-14,74
2019-04-21,80
2019-04-28,81
2019-05-05,84
2019-05-12,78
2019-05-19,73
2019-05-26,70
2019-06-02,78
2019-06-09,80
2019-06-16,81
2019-06-23,70
2019-06-30,69
2019-07-07,72
2019-07-14,73
2019-07-21,73
2019-07-28,70
2019-08-04,69
2019-08-11,72
2019-08-18,80
2019-08-25,81
2019-09-01,80
2019-09-08,74
2019-09-15,73
2019-09-22,75
2019-09-29,71
2019-10-06,74
2019-10-13,73
2019-10-20,66
2019-10-27,72
2019-11-03,55
2019-11-10,73
2019-11-17,72
2019-11-24,59
2019-12-01,68
2019-12-08,48
2019-12-15,67
2019-12-22,45
2019-12-29,64
2020-01-05,62
2020-01-12,70
2020-01-19,60
2020-01-26,67
2020-02-02,67
2020-02-09,77
2020-02-16,88
2020-02-23,74
2020-03-01,75
2020-03-08,76
