date,Music_BE
2018-01-07,86
2018-01-14,84
2018-01-21,91
2018-01-28,89
2018-02-04,86
2018-02-11,87
2018-02-18,83
2018-02-25,81
2018-03-04,88
2018-03-11,82
2018-03-18,85
2018-03-25,90
2018-04-01,83
2018-04-08,78
2018-04-15,82
2018-04-22,92
2018-04-29,83
2018-05-06,87
2018-05-13,82
2018-05-20,81
2018-05-27,79
2018-06-03,77
2018-06-10,86
2018-06-17,90
2018-06-24,80
2018-07-01,76
2018-07-08,77
2018-07-15,74
2018-07-22,75
2018-07-29,83
2018-08-05,73
2018-08-12,85
2018-08-19,78
2018-08-26,86
2018-09-02,80
2018-09-09,83
2018-09-16,76
2018-09-23,77
2018-09-30,76
2018-10-07,84
2018-10-14,82
2018-10-21,76
2018-10-28,83
2018-11-04,81
2018-11-11,89
2018-11-18,84
2018-11-25,82
2018-12-02,82
2018-12-09,77
2018-12-16,83
2018-12-23,90
2018-12-30,80
2019-01-06,77
2019-01-13,74
2019-01-20,87
2019-01-27,78
2019-02-03,91
2019-02-10,89
2019-02-17,81
2019-02-24,85
2019-03-03,83
2019-03-10,79
2019-03-17,76
2019-03-24,82
2019-03-31,79
2019-04-07,71
2019-04-14,73
2019-04-21,77
2019-04-28,77
2019-05-05,76
2019-05-12,74
2019-05-19,77
2019-05-26,72
2019-06-02,76
2019-06-09,89
2019-06-16,100
2019-06-23,85
2019-06-30,69
2019-07-07,82
2019-07-14,81
2019-07-21,73
2019-07-28,79
2019-08-04,79
2019-08-11,79
2019-08-18,79
2019-08-25,77
2019-09-01,81
2019-09-08,82
2019-09-15,82
2019-09-22,72
2019-09-29,71
2019-10-06,70
2019-10-13,78
2019-10-20,79
2019-10-27,73
2019-11-03,73
2019-11-10,87
2019-11-17,79
2019-11-24,78
2019-12-01,79
2019-12-08,74
2019-12-15,85
2019-12-22,95
2019-12-29,91
2020-01-05,73
2020-01-12,77
2020-01-19,79
2020-01-26,75
2020-02-02,78
2020-02-09,86
2020-02-16,79
2020-02-23,76
2020-03-01,80
2020-03-08,74
