date,Music_CH
2018-01-07,75
2018-01-14,96
2018-01-21,83
2018-01-28,85
2018-02-04,87
2018-02-11,84
2018-02-18,81
2018-02-25,74
2018-03-04,79
2018-03-11,82
2018-03-18,81
2018-03-25,77
2018-04-01,82
2018-04-08,75
2018-04-15,76
2018-04-22,71
2018-04-29,78
2018-05-06,86
2018-05-13,82
2018-05-20,84
2018-05-27,90
2018-06-03,81
2018-06-10,86
2018-06-17,98
2018-06-24,67
2018-07-01,70
2018-07-08,74
2018-07-15,76
2018-07-22,74
2018-07-29,73
2018-08-05,70
2018-08-12,73
2018-08-19,85
2018-08-26,75
2018-09-02,71
2018-09-09,74
2018-09-16,70
2018-09-23,76
2018-09-30,80
2018-10-07,77
2018-10-14,74
2018-10-21,77
2018-10-28,79
2018-11-04,84
2018-11-11,90
2018-11-18,81
2018-11-25,83
2018-12-02,82
2018-12-09,80
2018-12-16,80
2018-12-23,100
2018-12-30,89
2019-01-06,78
2019-01-13,80
2019-01-20,82
2019-01-27,79
2019-02-03,85
2019-02-10,81
2019-02-17,88
2019-02-24,71
2019-03-03,79
2019-03-10,80
2019-03-17,74
2019-03-24,80
2019-03-31,73
2019-04-07,75
2019-04-14,73
2019-04-21,74
2019-04-28,73
2019-05-05,81
2019-05-12,74
2019-05-19,75
2019-05-26,87
2019-06-02,77
2019-06-09,85
2019-06-16,98
2019-06-23,79
2019-06-30,79
2019-07-07,79
2019-07-14,81
2019-07-21,66
2019-07-28,84
2019-08-04,69
2019-08-11,73
2019-08-18,70
2019-08-25,80
2019-09-01,67
2019-09-08,82
2019-09-15,67
2019-09-22,74
2019-09-29,71
2019-10-06,73
2019-10-13,73
2019-10-20,73
2019-10-27,75
2019-11-03,85
2019-11-10,84
2019-11-17,76
2019-11-24,79
2019-12-01,85
2019-12-08,82
2019-12-15,78
2019-12-22,89
2019-12-29,86
2020-01-05,86
2020-01-12,84
2020-01-19,78
2020-01-26,77
2020-02-02,76
2020-02-09,77
2020-02-16,78
2020-02-23,78
2020-03-01,81
2020-03-08,70
