date,Music_CZ
2018-01-07,71
2018-01-14,80
2018-01-21,77
2018-01-28,80
2018-02-04,81
2018-02-11,79
2018-02-18,77
2018-02-25,75
2018-03-04,86
2018-03-11,76
2018-03-18,83
2018-03-25,76
2018-04-01,83
2018-04-08,79
2018-04-15,74
2018-04-22,86
2018-04-29,77
2018-05-06,83
2018-05-13,76
2018-05-20,78
2018-05-27,78
2018-06-03,86
2018-06-10,84
2018-06-17,79
2018-06-24,83
2018-07-01,87
2018-07-08,72
2018-07-15,83
2018-07-22,82
2018-07-29,78
2018-08-05,84
2018-08-12,99
2018-08-19,81
2018-08-26,87
2018-09-02,86
2018-09-09,83
2018-09-16,81
2018-09-23,87
2018-09-30,84
2018-10-07,89
2018-10-14,84
2018-10-21,88
2018-10-28,89
2018-11-04,91
2018-11-11,92
2018-11-18,91
2018-11-25,86
2018-12-02,82
2018-12-09,94
2018-12-16,79
2018-12-23,100
2018-12-30,91
2019-01-06,86
2019-01-13,84
2019-01-20,88
2019-01-27,89
2019-02-03,78
2019-02-10,89
2019-02-17,87
2019-02-24,94
2019-03-03,87
2019-03-10,84
2019-03-17,87
2019-03-24,92
2019-03-31,81
2019-04-07,69
2019-04-14,85
2019-04-21,76
2019-04-28,77
2019-05-05,72
2019-05-12,79
2019-05-19,74
2019-05-26,80
2019-06-02,82
2019-06-09,82
2019-06-16,77
2019-06-23,71
2019-06-30,87
2019-07-07,81
2019-07-14,87
2019-07-21,82
2019-07-28,80
2019-08-04,79
2019-08-11,84
2019-08-18,89
2019-08-25,74
2019-09-01,85
2019-09-08,80
2019-09-15,81
2019-09-22,88
2019-09-29,84
2019-10-06,86
2019-10-13,78
2019-10-20,78
2019-10-27,91
2019-11-03,94
2019-11-10,80
2019-11-17,77
2019-11-24,82
2019-12-01,78
2019-12-08,83
2019-12-15,86
2019-12-22,93
2019-12-29,76
2020-01-05,75
2020-01-12,85
2020-01-19,74
2020-01-26,75
2020-02-02,77
2020-02-09,74
2020-02-16,75
2020-02-23,78
2020-03-01,82
2020-03-08,65
