date,Pets_DK
2018-01-07,50
2018-01-14,56
2018-01-21,41
2018-01-28,53
2018-02-04,57
2018-02-11,44
2018-02-18,38
2018-02-25,56
2018-03-04,43
2018-03-11,59
2018-03-18,44
2018-03-25,56
2018-04-01,45
2018-04-08,37
2018-04-15,43
2018-04-22,37
2018-04-29,31
2018-05-06,40
2018-05-13,26
2018-05-20,40
2018-05-27,54
2018-06-03,33
2018-06-10,30
2018-06-17,24
2018-06-24,47
2018-07-01,53
2018-07-08,60
2018-07-15,42
2018-07-22,59
2018-07-29,65
2018-08-05,65
2018-08-12,41
2018-08-19,54
2018-08-26,53
2018-09-02,63
2018-09-09,59
2018-09-16,78
2018-09-23,45
2018-09-30,63
2018-10-07,67
2018-10-14,36
2018-10-21,58
2018-10-28,64
2018-11-04,56
2018-11-11,78
2018-11-18,40
2018-11-25,41
2018-12-02,54
2018-12-09,32
2018-12-16,75
2018-12-23,37
2018-12-30,45
2019-01-06,60
2019-01-13,28
2019-01-20,54
2019-01-27,60
2019-02-03,73
2019-02-10,85
2019-02-17,98
2019-02-24,92
2019-03-03,57
2019-03-10,79
2019-03-17,68
2019-03-24,100
2019-03-31,59
2019-04-07,42
2019-04-14,56
2019-04-21,61
2019-04-28,58
2019-05-05,44
2019-05-12,36
2019-05-19,53
2019-05-26,35
2019-06-02,31
2019-06-09,72
2019-06-16,54
2019-06-23,34
2019-06-30,55
2019-07-07,57
2019-07-14,52
2019-07-21,61
2019-07-28,61
2019-08-04,61
2019-08-11,46
2019-08-18,60
2019-08-25,70
2019-09-01,73
2019-09-08,46
2019-09-15,38
2019-09-22,50
2019-09-29,80
2019-10-06,55
2019-10-13,52
2019-10-20,58
2019-10-27,64
2019-11-03,54
2019-11-10,72
2019-11-17,64
2019-11-24,52
2019-12-01,57
2019-12-08,42
2019-12-15,67
2019-12-22,46
2019-12-29,57
2020-01-05,60
2020-01-12,79
2020-01-19,71
2020-01-26,43
2020-02-02,55
2020-02-09,61
2020-02-16,75
2020-02-23,59
2020-03-01,65
2020-03-08,57
