date,Performing_Art_BR
2018-01-07,61
2018-01-14,77
2018-01-21,99
2018-01-28,81
2018-02-04,59
2018-02-11,60
2018-02-18,75
2018-02-25,66
2018-03-04,97
2018-03-11,95
2018-03-18,72
2018-03-25,94
2018-04-01,77
2018-04-08,79
2018-04-15,88
2018-04-22,87
2018-04-29,45
2018-05-06,69
2018-05-13,74
2018-05-20,69
2018-05-27,45
2018-06-03,77
2018-06-10,64
2018-06-17,60
2018-06-24,59
2018-07-01,49
2018-07-08,77
2018-07-15,94
2018-07-22,53
2018-07-29,68
2018-08-05,84
2018-08-12,72
2018-08-19,67
2018-08-26,91
2018-09-02,85
2018-09-09,84
2018-09-16,82
2018-09-23,86
2018-09-30,69
2018-10-07,28
2018-10-14,76
2018-10-21,72
2018-10-28,53
2018-11-04,73
2018-11-11,81
2018-11-18,67
2018-11-25,72
2018-12-02,69
2018-12-09,82
2018-12-16,56
2018-12-23,37
2018-12-30,53
2019-01-06,37
2019-01-13,62
2019-01-20,95
2019-01-27,94
2019-02-03,57
2019-02-10,55
2019-02-17,47
2019-02-24,32
2019-03-03,46
2019-03-10,41
2019-03-17,68
2019-03-24,53
2019-03-31,81
2019-04-07,82
2019-04-14,76
2019-04-21,70
2019-04-28,80
2019-05-05,50
2019-05-12,50
2019-05-19,84
2019-05-26,50
2019-06-02,51
2019-06-09,63
2019-06-16,68
2019-06-23,80
2019-06-30,50
2019-07-07,93
2019-07-14,57
2019-07-21,47
2019-07-28,59
2019-08-04,89
2019-08-11,87
2019-08-18,59
2019-08-25,65
2019-09-01,78
2019-09-08,72
2019-09-15,72
2019-09-22,66
2019-09-29,67
2019-10-06,57
2019-10-13,42
2019-10-20,82
2019-10-27,88
2019-11-03,66
2019-11-10,64
2019-11-17,67
2019-11-24,52
2019-12-01,59
2019-12-08,54
2019-12-15,75
2019-12-22,46
2019-12-29,24
2020-01-05,49
2020-01-12,66
2020-01-19,100
2020-01-26,47
2020-02-02,70
2020-02-09,97
2020-02-16,99
2020-02-23,98
2020-03-01,84
2020-03-08,65
