date,Performing_Art_AE
2018-01-07,0
2018-01-14,49
2018-01-21,0
2018-01-28,25
2018-02-04,25
2018-02-11,0
2018-02-18,0
2018-02-25,25
2018-03-04,0
2018-03-11,76
2018-03-18,0
2018-03-25,27
2018-04-01,54
2018-04-08,0
2018-04-15,26
2018-04-22,26
2018-04-29,25
2018-05-06,25
2018-05-13,25
2018-05-20,0
2018-05-27,0
2018-06-03,0
2018-06-10,52
2018-06-17,100
2018-06-24,25
2018-07-01,25
2018-07-08,26
2018-07-15,28
2018-07-22,0
2018-07-29,57
2018-08-05,28
2018-08-12,29
2018-08-19,0
2018-08-26,0
2018-09-02,26
2018-09-09,53
2018-09-16,0
2018-09-23,0
2018-09-30,25
2018-10-07,0
2018-10-14,0
2018-10-21,26
2018-10-28,26
2018-11-04,51
2018-11-11,26
2018-11-18,0
2018-11-25,0
2018-12-02,27
2018-12-09,79
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,51
2019-01-20,25
2019-01-27,0
2019-02-03,0
2019-02-10,49
2019-02-17,24
2019-02-24,0
2019-03-03,25
2019-03-10,25
2019-03-17,25
2019-03-24,25
2019-03-31,52
2019-04-07,0
2019-04-14,25
2019-04-21,25
2019-04-28,24
2019-05-05,25
2019-05-12,75
2019-05-19,25
2019-05-26,24
2019-06-02,0
2019-06-09,45
2019-06-16,0
2019-06-23,0
2019-06-30,23
2019-07-07,0
2019-07-14,0
2019-07-21,0
2019-07-28,27
2019-08-04,0
2019-08-11,29
2019-08-18,26
2019-08-25,0
2019-09-01,0
2019-09-08,23
2019-09-15,46
2019-09-22,0
2019-09-29,22
2019-10-06,22
2019-10-13,0
2019-10-20,67
2019-10-27,22
2019-11-03,22
2019-11-10,22
2019-11-17,0
2019-11-24,45
2019-12-01,0
2019-12-08,45
2019-12-15,44
2019-12-22,69
2019-12-29,46
2020-01-05,0
2020-01-12,40
2020-01-19,42
2020-01-26,0
2020-02-02,41
2020-02-09,20
2020-02-16,0
2020-02-23,19
2020-03-01,19
2020-03-08,19
