date,Music_BR
2018-01-07,94
2018-01-14,96
2018-01-21,93
2018-01-28,94
2018-02-04,94
2018-02-11,99
2018-02-18,89
2018-02-25,92
2018-03-04,89
2018-03-11,92
2018-03-18,90
2018-03-25,95
2018-04-01,86
2018-04-08,87
2018-04-15,91
2018-04-22,95
2018-04-29,96
2018-05-06,93
2018-05-13,93
2018-05-20,90
2018-05-27,94
2018-06-03,91
2018-06-10,94
2018-06-17,85
2018-06-24,87
2018-07-01,90
2018-07-08,93
2018-07-15,91
2018-07-22,92
2018-07-29,91
2018-08-05,89
2018-08-12,89
2018-08-19,93
2018-08-26,90
2018-09-02,89
2018-09-09,87
2018-09-16,93
2018-09-23,86
2018-09-30,83
2018-10-07,78
2018-10-14,84
2018-10-21,84
2018-10-28,83
2018-11-04,83
2018-11-11,85
2018-11-18,82
2018-11-25,83
2018-12-02,85
2018-12-09,84
2018-12-16,87
2018-12-23,100
2018-12-30,87
2019-01-06,79
2019-01-13,83
2019-01-20,81
2019-01-27,76
2019-02-03,77
2019-02-10,76
2019-02-17,81
2019-02-24,79
2019-03-03,83
2019-03-10,75
2019-03-17,80
2019-03-24,83
2019-03-31,81
2019-04-07,77
2019-04-14,85
2019-04-21,79
2019-04-28,83
2019-05-05,81
2019-05-12,78
2019-05-19,80
2019-05-26,83
2019-06-02,78
2019-06-09,78
2019-06-16,84
2019-06-23,82
2019-06-30,79
2019-07-07,80
2019-07-14,78
2019-07-21,80
2019-07-28,80
2019-08-04,78
2019-08-11,83
2019-08-18,78
2019-08-25,80
2019-09-01,77
2019-09-08,74
2019-09-15,77
2019-09-22,78
2019-09-29,78
2019-10-06,75
2019-10-13,73
2019-10-20,74
2019-10-27,81
2019-11-03,72
2019-11-10,76
2019-11-17,74
2019-11-24,69
2019-12-01,73
2019-12-08,76
2019-12-15,78
2019-12-22,92
2019-12-29,87
2020-01-05,72
2020-01-12,73
2020-01-19,69
2020-01-26,69
2020-02-02,68
2020-02-09,70
2020-02-16,74
2020-02-23,76
2020-03-01,70
2020-03-08,68
