date,Crafts_IL
2018-01-07,43
2018-01-14,61
2018-01-21,61
2018-01-28,22
2018-02-04,32
2018-02-11,72
2018-02-18,52
2018-02-25,66
2018-03-04,63
2018-03-11,32
2018-03-18,22
2018-03-25,34
2018-04-01,57
2018-04-08,73
2018-04-15,33
2018-04-22,50
2018-04-29,31
2018-05-06,70
2018-05-13,64
2018-05-20,54
2018-05-27,21
2018-06-03,75
2018-06-10,20
2018-06-17,72
2018-06-24,10
2018-07-01,61
2018-07-08,30
2018-07-15,64
2018-07-22,21
2018-07-29,43
2018-08-05,53
2018-08-12,32
2018-08-19,44
2018-08-26,22
2018-09-02,34
2018-09-09,59
2018-09-16,70
2018-09-23,23
2018-09-30,33
2018-10-07,21
2018-10-14,32
2018-10-21,31
2018-10-28,21
2018-11-04,61
2018-11-11,31
2018-11-18,61
2018-11-25,63
2018-12-02,83
2018-12-09,53
2018-12-16,62
2018-12-23,73
2018-12-30,42
2019-01-06,73
2019-01-13,73
2019-01-20,64
2019-01-27,74
2019-02-03,40
2019-02-10,80
2019-02-17,92
2019-02-24,61
2019-03-03,42
2019-03-10,41
2019-03-17,44
2019-03-24,100
2019-03-31,53
2019-04-07,63
2019-04-14,22
2019-04-21,56
2019-04-28,40
2019-05-05,73
2019-05-12,80
2019-05-19,50
2019-05-26,30
2019-06-02,21
2019-06-09,11
2019-06-16,31
2019-06-23,51
2019-06-30,72
2019-07-07,10
2019-07-14,31
2019-07-21,51
2019-07-28,72
2019-08-04,10
2019-08-11,50
2019-08-18,30
2019-08-25,41
2019-09-01,40
2019-09-08,60
2019-09-15,38
2019-09-22,60
2019-09-29,97
2019-10-06,73
2019-10-13,40
2019-10-20,29
2019-10-27,27
2019-11-03,54
2019-11-10,44
2019-11-17,28
2019-11-24,36
2019-12-01,82
2019-12-08,55
2019-12-15,56
2019-12-22,37
2019-12-29,27
2020-01-05,54
2020-01-12,35
2020-01-19,27
2020-01-26,36
2020-02-02,26
2020-02-09,27
2020-02-16,44
2020-02-23,78
2020-03-01,35
2020-03-08,69
