date,Arts_RO
2018-01-07,74
2018-01-14,81
2018-01-21,79
2018-01-28,74
2018-02-04,72
2018-02-11,81
2018-02-18,77
2018-02-25,74
2018-03-04,76
2018-03-11,75
2018-03-18,73
2018-03-25,69
2018-04-01,62
2018-04-08,64
2018-04-15,76
2018-04-22,67
2018-04-29,60
2018-05-06,75
2018-05-13,88
2018-05-20,76
2018-05-27,72
2018-06-03,78
2018-06-10,67
2018-06-17,76
2018-06-24,63
2018-07-01,61
2018-07-08,57
2018-07-15,52
2018-07-22,59
2018-07-29,45
2018-08-05,60
2018-08-12,53
2018-08-19,46
2018-08-26,55
2018-09-02,54
2018-09-09,72
2018-09-16,84
2018-09-23,88
2018-09-30,89
2018-10-07,77
2018-10-14,73
2018-10-21,74
2018-10-28,73
2018-11-04,85
2018-11-11,68
2018-11-18,71
2018-11-25,65
2018-12-02,77
2018-12-09,78
2018-12-16,63
2018-12-23,41
2018-12-30,41
2019-01-06,64
2019-01-13,62
2019-01-20,71
2019-01-27,63
2019-02-03,61
2019-02-10,66
2019-02-17,69
2019-02-24,66
2019-03-03,67
2019-03-10,66
2019-03-17,72
2019-03-24,63
2019-03-31,85
2019-04-07,77
2019-04-14,64
2019-04-21,50
2019-04-28,41
2019-05-05,76
2019-05-12,71
2019-05-19,77
2019-05-26,64
2019-06-02,67
2019-06-09,74
2019-06-16,59
2019-06-23,67
2019-06-30,65
2019-07-07,59
2019-07-14,58
2019-07-21,69
2019-07-28,44
2019-08-04,52
2019-08-11,39
2019-08-18,56
2019-08-25,55
2019-09-01,60
2019-09-08,81
2019-09-15,87
2019-09-22,86
2019-09-29,100
2019-10-06,76
2019-10-13,80
2019-10-20,88
2019-10-27,71
2019-11-03,79
2019-11-10,82
2019-11-17,81
2019-11-24,77
2019-12-01,78
2019-12-08,70
2019-12-15,64
2019-12-22,41
2019-12-29,40
2020-01-05,55
2020-01-12,77
2020-01-19,72
2020-01-26,79
2020-02-02,72
2020-02-09,65
2020-02-16,78
2020-02-23,78
2020-03-01,69
2020-03-08,56
