date,Sports_AU
2018-01-07,67
2018-01-14,76
2018-01-21,83
2018-01-28,86
2018-02-04,94
2018-02-11,94
2018-02-18,90
2018-02-25,87
2018-03-04,91
2018-03-11,91
2018-03-18,86
2018-03-25,83
2018-04-01,87
2018-04-08,100
2018-04-15,84
2018-04-22,80
2018-04-29,89
2018-05-06,82
2018-05-13,86
2018-05-20,84
2018-05-27,80
2018-06-03,85
2018-06-10,92
2018-06-17,96
2018-06-24,86
2018-07-01,78
2018-07-08,68
2018-07-15,77
2018-07-22,86
2018-07-29,79
2018-08-05,82
2018-08-12,88
2018-08-19,86
2018-08-26,84
2018-09-02,79
2018-09-09,87
2018-09-16,83
2018-09-23,73
2018-09-30,74
2018-10-07,81
2018-10-14,78
2018-10-21,80
2018-10-28,79
2018-11-04,80
2018-11-11,79
2018-11-18,84
2018-11-25,82
2018-12-02,76
2018-12-09,78
2018-12-16,75
2018-12-23,68
2018-12-30,73
2019-01-06,73
2019-01-13,74
2019-01-20,73
2019-01-27,77
2019-02-03,81
2019-02-10,79
2019-02-17,83
2019-02-24,83
2019-03-03,83
2019-03-10,87
2019-03-17,85
2019-03-24,85
2019-03-31,88
2019-04-07,86
2019-04-14,75
2019-04-21,78
2019-04-28,83
2019-05-05,85
2019-05-12,83
2019-05-19,79
2019-05-26,90
2019-06-02,89
2019-06-09,89
2019-06-16,85
2019-06-23,82
2019-06-30,82
2019-07-07,75
2019-07-14,78
2019-07-21,82
2019-07-28,83
2019-08-04,85
2019-08-11,86
2019-08-18,85
2019-08-25,84
2019-09-01,88
2019-09-08,88
2019-09-15,84
2019-09-22,75
2019-09-29,79
2019-10-06,87
2019-10-13,90
2019-10-20,90
2019-10-27,88
2019-11-03,85
2019-11-10,79
2019-11-17,82
2019-11-24,81
2019-12-01,79
2019-12-08,80
2019-12-15,75
2019-12-22,77
2019-12-29,72
2020-01-05,73
2020-01-12,77
2020-01-19,84
2020-01-26,86
2020-02-02,92
2020-02-09,83
2020-02-16,86
2020-02-23,92
2020-03-01,88
2020-03-08,88
