date,Performing_Art_US
2018-01-07,78
2018-01-14,67
2018-01-21,81
2018-01-28,76
2018-02-04,69
2018-02-11,86
2018-02-18,79
2018-02-25,86
2018-03-04,98
2018-03-11,85
2018-03-18,76
2018-03-25,69
2018-04-01,77
2018-04-08,84
2018-04-15,81
2018-04-22,83
2018-04-29,68
2018-05-06,81
2018-05-13,75
2018-05-20,63
2018-05-27,78
2018-06-03,76
2018-06-10,67
2018-06-17,74
2018-06-24,64
2018-07-01,51
2018-07-08,58
2018-07-15,64
2018-07-22,59
2018-07-29,63
2018-08-05,80
2018-08-12,60
2018-08-19,66
2018-08-26,67
2018-09-02,62
2018-09-09,78
2018-09-16,76
2018-09-23,70
2018-09-30,76
2018-10-07,75
2018-10-14,75
2018-10-21,87
2018-10-28,81
2018-11-04,85
2018-11-11,85
2018-11-18,52
2018-11-25,82
2018-12-02,83
2018-12-09,87
2018-12-16,84
2018-12-23,48
2018-12-30,61
2019-01-06,64
2019-01-13,77
2019-01-20,71
2019-01-27,81
2019-02-03,82
2019-02-10,73
2019-02-17,70
2019-02-24,76
2019-03-03,70
2019-03-10,70
2019-03-17,80
2019-03-24,80
2019-03-31,75
2019-04-07,68
2019-04-14,63
2019-04-21,69
2019-04-28,70
2019-05-05,77
2019-05-12,95
2019-05-19,81
2019-05-26,61
2019-06-02,65
2019-06-09,55
2019-06-16,54
2019-06-23,60
2019-06-30,45
2019-07-07,58
2019-07-14,60
2019-07-21,56
2019-07-28,69
2019-08-04,63
2019-08-11,76
2019-08-18,74
2019-08-25,52
2019-09-01,69
2019-09-08,63
2019-09-15,80
2019-09-22,72
2019-09-29,68
2019-10-06,77
2019-10-13,74
2019-10-20,71
2019-10-27,69
2019-11-03,89
2019-11-10,82
2019-11-17,81
2019-11-24,68
2019-12-01,100
2019-12-08,88
2019-12-15,73
2019-12-22,48
2019-12-29,53
2020-01-05,70
2020-01-12,78
2020-01-19,84
2020-01-26,75
2020-02-02,75
2020-02-09,74
2020-02-16,71
2020-02-23,72
2020-03-01,66
2020-03-08,65
