date,Music_AU
2018-01-07,85
2018-01-14,89
2018-01-21,89
2018-01-28,88
2018-02-04,93
2018-02-11,92
2018-02-18,95
2018-02-25,92
2018-03-04,94
2018-03-11,97
2018-03-18,92
2018-03-25,94
2018-04-01,86
2018-04-08,90
2018-04-15,84
2018-04-22,89
2018-04-29,90
2018-05-06,88
2018-05-13,85
2018-05-20,93
2018-05-27,91
2018-06-03,92
2018-06-10,93
2018-06-17,88
2018-06-24,85
2018-07-01,81
2018-07-08,83
2018-07-15,84
2018-07-22,92
2018-07-29,88
2018-08-05,89
2018-08-12,91
2018-08-19,90
2018-08-26,88
2018-09-02,93
2018-09-09,89
2018-09-16,95
2018-09-23,90
2018-09-30,81
2018-10-07,87
2018-10-14,94
2018-10-21,91
2018-10-28,94
2018-11-04,100
2018-11-11,98
2018-11-18,94
2018-11-25,98
2018-12-02,99
2018-12-09,82
2018-12-16,83
2018-12-23,90
2018-12-30,91
2019-01-06,79
2019-01-13,77
2019-01-20,78
2019-01-27,87
2019-02-03,90
2019-02-10,93
2019-02-17,94
2019-02-24,91
2019-03-03,93
2019-03-10,89
2019-03-17,90
2019-03-24,85
2019-03-31,90
2019-04-07,84
2019-04-14,77
2019-04-21,85
2019-04-28,86
2019-05-05,85
2019-05-12,77
2019-05-19,89
2019-05-26,85
2019-06-02,83
2019-06-09,85
2019-06-16,89
2019-06-23,89
2019-06-30,79
2019-07-07,83
2019-07-14,79
2019-07-21,88
2019-07-28,86
2019-08-04,86
2019-08-11,87
2019-08-18,87
2019-08-25,88
2019-09-01,86
2019-09-08,89
2019-09-15,87
2019-09-22,83
2019-09-29,79
2019-10-06,81
2019-10-13,88
2019-10-20,86
2019-10-27,83
2019-11-03,88
2019-11-10,89
2019-11-17,88
2019-11-24,89
2019-12-01,91
2019-12-08,81
2019-12-15,83
2019-12-22,91
2019-12-29,81
2020-01-05,71
2020-01-12,75
2020-01-19,78
2020-01-26,77
2020-02-02,82
2020-02-09,87
2020-02-16,88
2020-02-23,91
2020-03-01,84
2020-03-08,84
