date,Collecting_AU
2018-01-07,54
2018-01-14,52
2018-01-21,45
2018-01-28,53
2018-02-04,53
2018-02-11,55
2018-02-18,75
2018-02-25,55
2018-03-04,54
2018-03-11,73
2018-03-18,64
2018-03-25,79
2018-04-01,65
2018-04-08,54
2018-04-15,76
2018-04-22,72
2018-04-29,49
2018-05-06,67
2018-05-13,46
2018-05-20,50
2018-05-27,56
2018-06-03,74
2018-06-10,62
2018-06-17,59
2018-06-24,65
2018-07-01,76
2018-07-08,73
2018-07-15,59
2018-07-22,48
2018-07-29,68
2018-08-05,76
2018-08-12,92
2018-08-19,73
2018-08-26,58
2018-09-02,80
2018-09-09,59
2018-09-16,47
2018-09-23,47
2018-09-30,47
2018-10-07,69
2018-10-14,50
2018-10-21,79
2018-10-28,69
2018-11-04,81
2018-11-11,79
2018-11-18,84
2018-11-25,69
2018-12-02,75
2018-12-09,97
2018-12-16,51
2018-12-23,55
2018-12-30,71
2019-01-06,73
2019-01-13,82
2019-01-20,53
2019-01-27,51
2019-02-03,52
2019-02-10,71
2019-02-17,78
2019-02-24,64
2019-03-03,50
2019-03-10,95
2019-03-17,66
2019-03-24,90
2019-03-31,93
2019-04-07,56
2019-04-14,45
2019-04-21,73
2019-04-28,68
2019-05-05,76
2019-05-12,68
2019-05-19,61
2019-05-26,90
2019-06-02,66
2019-06-09,82
2019-06-16,68
2019-06-23,86
2019-06-30,60
2019-07-07,53
2019-07-14,67
2019-07-21,70
2019-07-28,78
2019-08-04,66
2019-08-11,85
2019-08-18,68
2019-08-25,96
2019-09-01,88
2019-09-08,83
2019-09-15,73
2019-09-22,91
2019-09-29,100
2019-10-06,54
2019-10-13,77
2019-10-20,61
2019-10-27,63
2019-11-03,54
2019-11-10,49
2019-11-17,48
2019-11-24,78
2019-12-01,66
2019-12-08,71
2019-12-15,61
2019-12-22,70
2019-12-29,67
2020-01-05,57
2020-01-12,71
2020-01-19,68
2020-01-26,58
2020-02-02,72
2020-02-09,57
2020-02-16,71
2020-02-23,74
2020-03-01,54
2020-03-08,63
