date,Cooking_DK
2018-01-07,59
2018-01-14,55
2018-01-21,31
2018-01-28,41
2018-02-04,53
2018-02-11,34
2018-02-18,28
2018-02-25,42
2018-03-04,45
2018-03-11,48
2018-03-18,56
2018-03-25,47
2018-04-01,32
2018-04-08,49
2018-04-15,62
2018-04-22,34
2018-04-29,41
2018-05-06,41
2018-05-13,72
2018-05-20,55
2018-05-27,32
2018-06-03,33
2018-06-10,43
2018-06-17,46
2018-06-24,52
2018-07-01,54
2018-07-08,55
2018-07-15,67
2018-07-22,99
2018-07-29,72
2018-08-05,61
2018-08-12,70
2018-08-19,56
2018-08-26,59
2018-09-02,63
2018-09-09,72
2018-09-16,52
2018-09-23,46
2018-09-30,49
2018-10-07,30
2018-10-14,68
2018-10-21,50
2018-10-28,64
2018-11-04,52
2018-11-11,61
2018-11-18,27
2018-11-25,24
2018-12-02,74
2018-12-09,82
2018-12-16,30
2018-12-23,29
2018-12-30,46
2019-01-06,81
2019-01-13,46
2019-01-20,49
2019-01-27,80
2019-02-03,46
2019-02-10,56
2019-02-17,53
2019-02-24,35
2019-03-03,49
2019-03-10,49
2019-03-17,22
2019-03-24,38
2019-03-31,51
2019-04-07,58
2019-04-14,46
2019-04-21,61
2019-04-28,47
2019-05-05,35
2019-05-12,22
2019-05-19,31
2019-05-26,25
2019-06-02,28
2019-06-09,49
2019-06-16,28
2019-06-23,38
2019-06-30,53
2019-07-07,43
2019-07-14,50
2019-07-21,59
2019-07-28,51
2019-08-04,56
2019-08-11,41
2019-08-18,63
2019-08-25,81
2019-09-01,85
2019-09-08,82
2019-09-15,49
2019-09-22,69
2019-09-29,51
2019-10-06,54
2019-10-13,72
2019-10-20,65
2019-10-27,51
2019-11-03,37
2019-11-10,83
2019-11-17,74
2019-11-24,55
2019-12-01,23
2019-12-08,100
2019-12-15,88
2019-12-22,43
2019-12-29,35
2020-01-05,54
2020-01-12,50
2020-01-19,59
2020-01-26,54
2020-02-02,58
2020-02-09,51
2020-02-16,93
2020-02-23,53
2020-03-01,40
2020-03-08,39
