date,Cooking_NO
2018-01-07,45
2018-01-14,44
2018-01-21,38
2018-01-28,58
2018-02-04,48
2018-02-11,42
2018-02-18,37
2018-02-25,32
2018-03-04,35
2018-03-11,26
2018-03-18,16
2018-03-25,67
2018-04-01,42
2018-04-08,42
2018-04-15,26
2018-04-22,32
2018-04-29,39
2018-05-06,27
2018-05-13,36
2018-05-20,48
2018-05-27,27
2018-06-03,49
2018-06-10,37
2018-06-17,29
2018-06-24,55
2018-07-01,22
2018-07-08,40
2018-07-15,51
2018-07-22,46
2018-07-29,49
2018-08-05,26
2018-08-12,48
2018-08-19,26
2018-08-26,54
2018-09-02,35
2018-09-09,35
2018-09-16,19
2018-09-23,51
2018-09-30,37
2018-10-07,48
2018-10-14,50
2018-10-21,49
2018-10-28,29
2018-11-04,46
2018-11-11,31
2018-11-18,19
2018-11-25,29
2018-12-02,38
2018-12-09,53
2018-12-16,14
2018-12-23,63
2018-12-30,35
2019-01-06,34
2019-01-13,35
2019-01-20,37
2019-01-27,57
2019-02-03,38
2019-02-10,25
2019-02-17,26
2019-02-24,28
2019-03-03,48
2019-03-10,26
2019-03-17,25
2019-03-24,35
2019-03-31,40
2019-04-07,44
2019-04-14,46
2019-04-21,37
2019-04-28,37
2019-05-05,44
2019-05-12,26
2019-05-19,31
2019-05-26,31
2019-06-02,31
2019-06-09,32
2019-06-16,13
2019-06-23,23
2019-06-30,34
2019-07-07,45
2019-07-14,37
2019-07-21,35
2019-07-28,62
2019-08-04,45
2019-08-11,46
2019-08-18,40
2019-08-25,39
2019-09-01,60
2019-09-08,38
2019-09-15,51
2019-09-22,51
2019-09-29,47
2019-10-06,78
2019-10-13,30
2019-10-20,47
2019-10-27,33
2019-11-03,35
2019-11-10,52
2019-11-17,26
2019-11-24,45
2019-12-01,32
2019-12-08,44
2019-12-15,48
2019-12-22,100
2019-12-29,43
2020-01-05,55
2020-01-12,35
2020-01-19,53
2020-01-26,56
2020-02-02,31
2020-02-09,39
2020-02-16,42
2020-02-23,25
2020-03-01,37
2020-03-08,44
