date,Music_TH
2018-01-07,99
2018-01-14,90
2018-01-21,93
2018-01-28,90
2018-02-04,91
2018-02-11,80
2018-02-18,88
2018-02-25,80
2018-03-04,80
2018-03-11,81
2018-03-18,74
2018-03-25,70
2018-04-01,66
2018-04-08,72
2018-04-15,68
2018-04-22,65
2018-04-29,66
2018-05-06,67
2018-05-13,78
2018-05-20,100
2018-05-27,77
2018-06-03,90
2018-06-10,83
2018-06-17,74
2018-06-24,70
2018-07-01,84
2018-07-08,76
2018-07-15,77
2018-07-22,81
2018-07-29,82
2018-08-05,79
2018-08-12,67
2018-08-19,85
2018-08-26,91
2018-09-02,87
2018-09-09,89
2018-09-16,91
2018-09-23,79
2018-09-30,74
2018-10-07,76
2018-10-14,66
2018-10-21,68
2018-10-28,90
2018-11-04,87
2018-11-11,91
2018-11-18,96
2018-11-25,89
2018-12-02,78
2018-12-09,91
2018-12-16,87
2018-12-23,82
2018-12-30,73
2019-01-06,82
2019-01-13,87
2019-01-20,84
2019-01-27,71
2019-02-03,75
2019-02-10,90
2019-02-17,78
2019-02-24,72
2019-03-03,75
2019-03-10,71
2019-03-17,71
2019-03-24,59
2019-03-31,63
2019-04-07,70
2019-04-14,69
2019-04-21,69
2019-04-28,63
2019-05-05,62
2019-05-12,75
2019-05-19,90
2019-05-26,85
2019-06-02,90
2019-06-09,93
2019-06-16,85
2019-06-23,93
2019-06-30,81
2019-07-07,81
2019-07-14,77
2019-07-21,89
2019-07-28,83
2019-08-04,83
2019-08-11,76
2019-08-18,78
2019-08-25,83
2019-09-01,76
2019-09-08,95
2019-09-15,85
2019-09-22,75
2019-09-29,66
2019-10-06,67
2019-10-13,67
2019-10-20,60
2019-10-27,76
2019-11-03,87
2019-11-10,92
2019-11-17,99
2019-11-24,98
2019-12-01,86
2019-12-08,86
2019-12-15,86
2019-12-22,93
2019-12-29,74
2020-01-05,89
2020-01-12,84
2020-01-19,86
2020-01-26,85
2020-02-02,88
2020-02-09,84
2020-02-16,98
2020-02-23,93
2020-03-01,86
2020-03-08,79
