date,Pets_NG
2018-01-07,27
2018-01-14,40
2018-01-21,26
2018-01-28,25
2018-02-04,43
2018-02-11,42
2018-02-18,42
2018-02-25,90
2018-03-04,36
2018-03-11,53
2018-03-18,59
2018-03-25,40
2018-04-01,16
2018-04-08,58
2018-04-15,54
2018-04-22,67
2018-04-29,60
2018-05-06,54
2018-05-13,61
2018-05-20,11
2018-05-27,23
2018-06-03,56
2018-06-10,33
2018-06-17,39
2018-06-24,39
2018-07-01,43
2018-07-08,53
2018-07-15,59
2018-07-22,32
2018-07-29,63
2018-08-05,87
2018-08-12,49
2018-08-19,53
2018-08-26,59
2018-09-02,52
2018-09-09,37
2018-09-16,24
2018-09-23,29
2018-09-30,73
2018-10-07,46
2018-10-14,56
2018-10-21,40
2018-10-28,25
2018-11-04,49
2018-11-11,58
2018-11-18,49
2018-11-25,47
2018-12-02,85
2018-12-09,48
2018-12-16,55
2018-12-23,48
2018-12-30,58
2019-01-06,32
2019-01-13,51
2019-01-20,50
2019-01-27,72
2019-02-03,89
2019-02-10,35
2019-02-17,48
2019-02-24,71
2019-03-03,60
2019-03-10,42
2019-03-17,75
2019-03-24,60
2019-03-31,33
2019-04-07,38
2019-04-14,43
2019-04-21,62
2019-04-28,51
2019-05-05,39
2019-05-12,38
2019-05-19,87
2019-05-26,16
2019-06-02,39
2019-06-09,74
2019-06-16,54
2019-06-23,71
2019-06-30,42
2019-07-07,57
2019-07-14,26
2019-07-21,57
2019-07-28,36
2019-08-04,50
2019-08-11,51
2019-08-18,50
2019-08-25,46
2019-09-01,92
2019-09-08,70
2019-09-15,79
2019-09-22,58
2019-09-29,100
2019-10-06,68
2019-10-13,65
2019-10-20,62
2019-10-27,41
2019-11-03,34
2019-11-10,62
2019-11-17,46
2019-11-24,49
2019-12-01,49
2019-12-08,51
2019-12-15,70
2019-12-22,39
2019-12-29,57
2020-01-05,41
2020-01-12,51
2020-01-19,74
2020-01-26,46
2020-02-02,57
2020-02-09,61
2020-02-16,77
2020-02-23,36
2020-03-01,37
2020-03-08,58
