date,Pets_RU
2018-01-07,68
2018-01-14,76
2018-01-21,79
2018-01-28,86
2018-02-04,71
2018-02-11,75
2018-02-18,78
2018-02-25,79
2018-03-04,69
2018-03-11,67
2018-03-18,65
2018-03-25,66
2018-04-01,75
2018-04-08,57
2018-04-15,69
2018-04-22,61
2018-04-29,74
2018-05-06,86
2018-05-13,59
2018-05-20,68
2018-05-27,52
2018-06-03,65
2018-06-10,64
2018-06-17,65
2018-06-24,60
2018-07-01,64
2018-07-08,75
2018-07-15,59
2018-07-22,57
2018-07-29,67
2018-08-05,69
2018-08-12,71
2018-08-19,84
2018-08-26,73
2018-09-02,73
2018-09-09,82
2018-09-16,80
2018-09-23,79
2018-09-30,66
2018-10-07,69
2018-10-14,78
2018-10-21,73
2018-10-28,82
2018-11-04,83
2018-11-11,85
2018-11-18,91
2018-11-25,98
2018-12-02,86
2018-12-09,83
2018-12-16,100
2018-12-23,78
2018-12-30,83
2019-01-06,79
2019-01-13,81
2019-01-20,85
2019-01-27,80
2019-02-03,54
2019-02-10,68
2019-02-17,63
2019-02-24,62
2019-03-03,56
2019-03-10,62
2019-03-17,55
2019-03-24,79
2019-03-31,92
2019-04-07,86
2019-04-14,96
2019-04-21,87
2019-04-28,81
2019-05-05,72
2019-05-12,74
2019-05-19,76
2019-05-26,64
2019-06-02,74
2019-06-09,52
2019-06-16,78
2019-06-23,70
2019-06-30,65
2019-07-07,64
2019-07-14,62
2019-07-21,63
2019-07-28,58
2019-08-04,57
2019-08-11,53
2019-08-18,67
2019-08-25,58
2019-09-01,58
2019-09-08,45
2019-09-15,60
2019-09-22,69
2019-09-29,72
2019-10-06,59
2019-10-13,60
2019-10-20,68
2019-10-27,57
2019-11-03,59
2019-11-10,81
2019-11-17,82
2019-11-24,88
2019-12-01,97
2019-12-08,71
2019-12-15,86
2019-12-22,65
2019-12-29,68
2020-01-05,88
2020-01-12,69
2020-01-19,55
2020-01-26,81
2020-02-02,62
2020-02-09,75
2020-02-16,70
2020-02-23,68
2020-03-01,73
2020-03-08,75
