date,Pets_IL
2018-01-07,60
2018-01-14,29
2018-01-21,57
2018-01-28,56
2018-02-04,38
2018-02-11,49
2018-02-18,50
2018-02-25,93
2018-03-04,75
2018-03-11,17
2018-03-18,65
2018-03-25,100
2018-04-01,55
2018-04-08,29
2018-04-15,70
2018-04-22,60
2018-04-29,50
2018-05-06,64
2018-05-13,51
2018-05-20,39
2018-05-27,55
2018-06-03,56
2018-06-10,69
2018-06-17,58
2018-06-24,66
2018-07-01,45
2018-07-08,57
2018-07-15,55
2018-07-22,55
2018-07-29,56
2018-08-05,30
2018-08-12,56
2018-08-19,44
2018-08-26,57
2018-09-02,81
2018-09-09,71
2018-09-16,70
2018-09-23,59
2018-09-30,52
2018-10-07,34
2018-10-14,42
2018-10-21,57
2018-10-28,91
2018-11-04,36
2018-11-11,37
2018-11-18,57
2018-11-25,38
2018-12-02,62
2018-12-09,34
2018-12-16,53
2018-12-23,46
2018-12-30,51
2019-01-06,59
2019-01-13,59
2019-01-20,56
2019-01-27,84
2019-02-03,56
2019-02-10,48
2019-02-17,74
2019-02-24,44
2019-03-03,59
2019-03-10,65
2019-03-17,57
2019-03-24,84
2019-03-31,51
2019-04-07,67
2019-04-14,65
2019-04-21,54
2019-04-28,61
2019-05-05,33
2019-05-12,76
2019-05-19,64
2019-05-26,61
2019-06-02,58
2019-06-09,51
2019-06-16,49
2019-06-23,98
2019-06-30,66
2019-07-07,93
2019-07-14,61
2019-07-21,61
2019-07-28,82
2019-08-04,90
2019-08-11,84
2019-08-18,76
2019-08-25,65
2019-09-01,44
2019-09-08,79
2019-09-15,46
2019-09-22,64
2019-09-29,56
2019-10-06,50
2019-10-13,68
2019-10-20,57
2019-10-27,65
2019-11-03,36
2019-11-10,49
2019-11-17,37
2019-11-24,87
2019-12-01,66
2019-12-08,70
2019-12-15,59
2019-12-22,66
2019-12-29,73
2020-01-05,61
2020-01-12,38
2020-01-19,53
2020-01-26,73
2020-02-02,49
2020-02-09,50
2020-02-16,70
2020-02-23,72
2020-03-01,90
2020-03-08,73
