date,Music_RU
2018-01-07,92
2018-01-14,88
2018-01-21,89
2018-01-28,91
2018-02-04,92
2018-02-11,89
2018-02-18,91
2018-02-25,86
2018-03-04,94
2018-03-11,83
2018-03-18,90
2018-03-25,88
2018-04-01,88
2018-04-08,89
2018-04-15,91
2018-04-22,92
2018-04-29,98
2018-05-06,90
2018-05-13,90
2018-05-20,94
2018-05-27,93
2018-06-03,87
2018-06-10,92
2018-06-17,91
2018-06-24,91
2018-07-01,88
2018-07-08,95
2018-07-15,93
2018-07-22,94
2018-07-29,92
2018-08-05,95
2018-08-12,98
2018-08-19,96
2018-08-26,95
2018-09-02,90
2018-09-09,87
2018-09-16,87
2018-09-23,91
2018-09-30,89
2018-10-07,83
2018-10-14,89
2018-10-21,87
2018-10-28,91
2018-11-04,89
2018-11-11,84
2018-11-18,88
2018-11-25,85
2018-12-02,83
2018-12-09,87
2018-12-16,89
2018-12-23,95
2018-12-30,100
2019-01-06,81
2019-01-13,82
2019-01-20,82
2019-01-27,80
2019-02-03,78
2019-02-10,78
2019-02-17,78
2019-02-24,79
2019-03-03,82
2019-03-10,72
2019-03-17,79
2019-03-24,81
2019-03-31,80
2019-04-07,86
2019-04-14,84
2019-04-21,81
2019-04-28,89
2019-05-05,88
2019-05-12,82
2019-05-19,81
2019-05-26,82
2019-06-02,88
2019-06-09,87
2019-06-16,89
2019-06-23,89
2019-06-30,88
2019-07-07,89
2019-07-14,88
2019-07-21,89
2019-07-28,86
2019-08-04,88
2019-08-11,89
2019-08-18,88
2019-08-25,86
2019-09-01,82
2019-09-08,84
2019-09-15,84
2019-09-22,85
2019-09-29,84
2019-10-06,82
2019-10-13,84
2019-10-20,86
2019-10-27,81
2019-11-03,81
2019-11-10,76
2019-11-17,77
2019-11-24,79
2019-12-01,79
2019-12-08,79
2019-12-15,83
2019-12-22,87
2019-12-29,96
2020-01-05,81
2020-01-12,75
2020-01-19,76
2020-01-26,78
2020-02-02,75
2020-02-09,76
2020-02-16,78
2020-02-23,77
2020-03-01,79
2020-03-08,75
