date,Music_PT
2018-01-07,80
2018-01-14,84
2018-01-21,87
2018-01-28,84
2018-02-04,83
2018-02-11,96
2018-02-18,91
2018-02-25,88
2018-03-04,89
2018-03-11,83
2018-03-18,89
2018-03-25,87
2018-04-01,84
2018-04-08,82
2018-04-15,82
2018-04-22,81
2018-04-29,82
2018-05-06,92
2018-05-13,87
2018-05-20,82
2018-05-27,85
2018-06-03,85
2018-06-10,85
2018-06-17,81
2018-06-24,74
2018-07-01,75
2018-07-08,82
2018-07-15,88
2018-07-22,82
2018-07-29,74
2018-08-05,73
2018-08-12,76
2018-08-19,80
2018-08-26,79
2018-09-02,79
2018-09-09,78
2018-09-16,81
2018-09-23,81
2018-09-30,84
2018-10-07,80
2018-10-14,82
2018-10-21,81
2018-10-28,77
2018-11-04,84
2018-11-11,80
2018-11-18,77
2018-11-25,87
2018-12-02,91
2018-12-09,96
2018-12-16,89
2018-12-23,100
2018-12-30,86
2019-01-06,74
2019-01-13,82
2019-01-20,86
2019-01-27,78
2019-02-03,77
2019-02-10,84
2019-02-17,85
2019-02-24,80
2019-03-03,90
2019-03-10,78
2019-03-17,86
2019-03-24,78
2019-03-31,81
2019-04-07,82
2019-04-14,72
2019-04-21,81
2019-04-28,76
2019-05-05,76
2019-05-12,80
2019-05-19,77
2019-05-26,78
2019-06-02,80
2019-06-09,84
2019-06-16,74
2019-06-23,73
2019-06-30,75
2019-07-07,76
2019-07-14,82
2019-07-21,69
2019-07-28,74
2019-08-04,69
2019-08-11,77
2019-08-18,74
2019-08-25,79
2019-09-01,68
2019-09-08,75
2019-09-15,78
2019-09-22,69
2019-09-29,79
2019-10-06,76
2019-10-13,71
2019-10-20,76
2019-10-27,75
2019-11-03,74
2019-11-10,72
2019-11-17,83
2019-11-24,76
2019-12-01,86
2019-12-08,87
2019-12-15,89
2019-12-22,93
2019-12-29,86
2020-01-05,75
2020-01-12,78
2020-01-19,78
2020-01-26,74
2020-02-02,73
2020-02-09,77
2020-02-16,77
2020-02-23,73
2020-03-01,74
2020-03-08,71
