date,Arts_EG
2018-01-07,49
2018-01-14,38
2018-01-21,38
2018-01-28,44
2018-02-04,48
2018-02-11,46
2018-02-18,54
2018-02-25,50
2018-03-04,48
2018-03-11,45
2018-03-18,46
2018-03-25,48
2018-04-01,43
2018-04-08,37
2018-04-15,42
2018-04-22,43
2018-04-29,41
2018-05-06,36
2018-05-13,40
2018-05-20,34
2018-05-27,37
2018-06-03,38
2018-06-10,35
2018-06-17,45
2018-06-24,46
2018-07-01,76
2018-07-08,75
2018-07-15,75
2018-07-22,68
2018-07-29,52
2018-08-05,44
2018-08-12,48
2018-08-19,37
2018-08-26,47
2018-09-02,44
2018-09-09,43
2018-09-16,46
2018-09-23,49
2018-09-30,55
2018-10-07,58
2018-10-14,55
2018-10-21,53
2018-10-28,55
2018-11-04,45
2018-11-11,48
2018-11-18,46
2018-11-25,53
2018-12-02,53
2018-12-09,49
2018-12-16,52
2018-12-23,43
2018-12-30,39
2019-01-06,43
2019-01-13,44
2019-01-20,40
2019-01-27,42
2019-02-03,36
2019-02-10,49
2019-02-17,52
2019-02-24,45
2019-03-03,45
2019-03-10,43
2019-03-17,40
2019-03-24,44
2019-03-31,43
2019-04-07,42
2019-04-14,42
2019-04-21,37
2019-04-28,33
2019-05-05,36
2019-05-12,40
2019-05-19,34
2019-05-26,38
2019-06-02,36
2019-06-09,47
2019-06-16,36
2019-06-23,49
2019-06-30,64
2019-07-07,71
2019-07-14,100
2019-07-21,56
2019-07-28,53
2019-08-04,44
2019-08-11,38
2019-08-18,43
2019-08-25,38
2019-09-01,40
2019-09-08,41
2019-09-15,43
2019-09-22,43
2019-09-29,46
2019-10-06,43
2019-10-13,48
2019-10-20,45
2019-10-27,47
2019-11-03,41
2019-11-10,41
2019-11-17,40
2019-11-24,41
2019-12-01,47
2019-12-08,47
2019-12-15,44
2019-12-22,33
2019-12-29,38
2020-01-05,34
2020-01-12,42
2020-01-19,38
2020-01-26,33
2020-02-02,35
2020-02-09,38
2020-02-16,45
2020-02-23,40
2020-03-01,33
2020-03-08,40
