date,Pets_FI
2018-01-07,47
2018-01-14,49
2018-01-21,44
2018-01-28,51
2018-02-04,42
2018-02-11,50
2018-02-18,41
2018-02-25,59
2018-03-04,55
2018-03-11,56
2018-03-18,56
2018-03-25,44
2018-04-01,68
2018-04-08,28
2018-04-15,45
2018-04-22,43
2018-04-29,33
2018-05-06,39
2018-05-13,50
2018-05-20,64
2018-05-27,48
2018-06-03,54
2018-06-10,47
2018-06-17,46
2018-06-24,57
2018-07-01,47
2018-07-08,73
2018-07-15,65
2018-07-22,62
2018-07-29,61
2018-08-05,57
2018-08-12,82
2018-08-19,57
2018-08-26,69
2018-09-02,53
2018-09-09,41
2018-09-16,48
2018-09-23,58
2018-09-30,74
2018-10-07,61
2018-10-14,49
2018-10-21,33
2018-10-28,32
2018-11-04,46
2018-11-11,68
2018-11-18,61
2018-11-25,70
2018-12-02,68
2018-12-09,69
2018-12-16,66
2018-12-23,61
2018-12-30,42
2019-01-06,43
2019-01-13,57
2019-01-20,66
2019-01-27,66
2019-02-03,100
2019-02-10,62
2019-02-17,79
2019-02-24,71
2019-03-03,43
2019-03-10,56
2019-03-17,79
2019-03-24,47
2019-03-31,46
2019-04-07,34
2019-04-14,65
2019-04-21,24
2019-04-28,45
2019-05-05,61
2019-05-12,34
2019-05-19,68
2019-05-26,48
2019-06-02,50
2019-06-09,42
2019-06-16,29
2019-06-23,42
2019-06-30,76
2019-07-07,52
2019-07-14,63
2019-07-21,68
2019-07-28,63
2019-08-04,40
2019-08-11,48
2019-08-18,50
2019-08-25,56
2019-09-01,65
2019-09-08,58
2019-09-15,51
2019-09-22,52
2019-09-29,52
2019-10-06,47
2019-10-13,45
2019-10-20,48
2019-10-27,44
2019-11-03,46
2019-11-10,52
2019-11-17,48
2019-11-24,46
2019-12-01,42
2019-12-08,49
2019-12-15,67
2019-12-22,47
2019-12-29,30
2020-01-05,43
2020-01-12,45
2020-01-19,57
2020-01-26,64
2020-02-02,62
2020-02-09,32
2020-02-16,50
2020-02-23,45
2020-03-01,46
2020-03-08,66
