date,Arts_SA
2018-01-07,53
2018-01-14,61
2018-01-21,76
2018-01-28,81
2018-02-04,100
2018-02-11,92
2018-02-18,86
2018-02-25,86
2018-03-04,82
2018-03-11,90
2018-03-18,91
2018-03-25,73
2018-04-01,69
2018-04-08,69
2018-04-15,73
2018-04-22,67
2018-04-29,57
2018-05-06,49
2018-05-13,50
2018-05-20,46
2018-05-27,55
2018-06-03,54
2018-06-10,37
2018-06-17,52
2018-06-24,49
2018-07-01,61
2018-07-08,50
2018-07-15,59
2018-07-22,58
2018-07-29,46
2018-08-05,69
2018-08-12,47
2018-08-19,50
2018-08-26,70
2018-09-02,67
2018-09-09,87
2018-09-16,85
2018-09-23,75
2018-09-30,90
2018-10-07,89
2018-10-14,91
2018-10-21,87
2018-10-28,87
2018-11-04,83
2018-11-11,78
2018-11-18,72
2018-11-25,81
2018-12-02,80
2018-12-09,52
2018-12-16,49
2018-12-23,51
2018-12-30,47
2019-01-06,73
2019-01-13,77
2019-01-20,83
2019-01-27,76
2019-02-03,79
2019-02-10,74
2019-02-17,66
2019-02-24,64
2019-03-03,72
2019-03-10,62
2019-03-17,72
2019-03-24,59
2019-03-31,60
2019-04-07,57
2019-04-14,51
2019-04-21,44
2019-04-28,51
2019-05-05,40
2019-05-12,45
2019-05-19,42
2019-05-26,41
2019-06-02,43
2019-06-09,49
2019-06-16,46
2019-06-23,47
2019-06-30,45
2019-07-07,58
2019-07-14,51
2019-07-21,50
2019-07-28,53
2019-08-04,53
2019-08-11,45
2019-08-18,48
2019-08-25,59
2019-09-01,61
2019-09-08,76
2019-09-15,64
2019-09-22,72
2019-09-29,80
2019-10-06,81
2019-10-13,80
2019-10-20,81
2019-10-27,83
2019-11-03,69
2019-11-10,75
2019-11-17,80
2019-11-24,83
2019-12-01,69
2019-12-08,61
2019-12-15,59
2019-12-22,43
2019-12-29,46
2020-01-05,47
2020-01-12,47
2020-01-19,62
2020-01-26,71
2020-02-02,82
2020-02-09,85
2020-02-16,91
2020-02-23,76
2020-03-01,76
2020-03-08,54
