date,Performing_Art_PH
2018-01-07,25
2018-01-14,16
2018-01-21,24
2018-01-28,49
2018-02-04,57
2018-02-11,58
2018-02-18,8
2018-02-25,0
2018-03-04,24
2018-03-11,0
2018-03-18,25
2018-03-25,9
2018-04-01,9
2018-04-08,8
2018-04-15,25
2018-04-22,8
2018-04-29,0
2018-05-06,24
2018-05-13,17
2018-05-20,16
2018-05-27,0
2018-06-03,24
2018-06-10,31
2018-06-17,53
2018-06-24,30
2018-07-01,59
2018-07-08,29
2018-07-15,0
2018-07-22,8
2018-07-29,15
2018-08-05,15
2018-08-12,45
2018-08-19,53
2018-08-26,31
2018-09-02,29
2018-09-09,29
2018-09-16,30
2018-09-23,45
2018-09-30,52
2018-10-07,50
2018-10-14,23
2018-10-21,54
2018-10-28,0
2018-11-04,23
2018-11-11,37
2018-11-18,53
2018-11-25,45
2018-12-02,45
2018-12-09,15
2018-12-16,8
2018-12-23,0
2018-12-30,16
2019-01-06,14
2019-01-13,51
2019-01-20,28
2019-01-27,50
2019-02-03,35
2019-02-10,7
2019-02-17,28
2019-02-24,28
2019-03-03,21
2019-03-10,21
2019-03-17,63
2019-03-24,29
2019-03-31,15
2019-04-07,38
2019-04-14,16
2019-04-21,30
2019-04-28,23
2019-05-05,14
2019-05-12,36
2019-05-19,22
2019-05-26,29
2019-06-02,7
2019-06-09,27
2019-06-16,54
2019-06-23,59
2019-06-30,39
2019-07-07,32
2019-07-14,19
2019-07-21,53
2019-07-28,40
2019-08-04,26
2019-08-11,60
2019-08-18,13
2019-08-25,7
2019-09-01,64
2019-09-08,38
2019-09-15,19
2019-09-22,45
2019-09-29,13
2019-10-06,25
2019-10-13,32
2019-10-20,26
2019-10-27,28
2019-11-03,26
2019-11-10,50
2019-11-17,25
2019-11-24,25
2019-12-01,45
2019-12-08,13
2019-12-15,0
2019-12-22,8
2019-12-29,7
2020-01-05,37
2020-01-12,29
2020-01-19,49
2020-01-26,30
2020-02-02,100
2020-02-09,72
2020-02-16,24
2020-02-23,41
2020-03-01,40
2020-03-08,17
