date,Collecting_MX
2018-01-07,56
2018-01-14,64
2018-01-21,70
2018-01-28,55
2018-02-04,49
2018-02-11,53
2018-02-18,37
2018-02-25,52
2018-03-04,46
2018-03-11,39
2018-03-18,54
2018-03-25,61
2018-04-01,53
2018-04-08,37
2018-04-15,58
2018-04-22,50
2018-04-29,61
2018-05-06,54
2018-05-13,59
2018-05-20,47
2018-05-27,43
2018-06-03,57
2018-06-10,52
2018-06-17,44
2018-06-24,44
2018-07-01,59
2018-07-08,41
2018-07-15,75
2018-07-22,55
2018-07-29,69
2018-08-05,56
2018-08-12,62
2018-08-19,49
2018-08-26,59
2018-09-02,53
2018-09-09,48
2018-09-16,44
2018-09-23,48
2018-09-30,53
2018-10-07,52
2018-10-14,55
2018-10-21,44
2018-10-28,55
2018-11-04,45
2018-11-11,55
2018-11-18,61
2018-11-25,58
2018-12-02,56
2018-12-09,61
2018-12-16,51
2018-12-23,100
2018-12-30,60
2019-01-06,49
2019-01-13,57
2019-01-20,69
2019-01-27,54
2019-02-03,69
2019-02-10,55
2019-02-17,55
2019-02-24,44
2019-03-03,42
2019-03-10,53
2019-03-17,62
2019-03-24,52
2019-03-31,60
2019-04-07,52
2019-04-14,61
2019-04-21,58
2019-04-28,54
2019-05-05,54
2019-05-12,44
2019-05-19,49
2019-05-26,46
2019-06-02,55
2019-06-09,65
2019-06-16,71
2019-06-23,65
2019-06-30,70
2019-07-07,62
2019-07-14,60
2019-07-21,80
2019-07-28,59
2019-08-04,52
2019-08-11,53
2019-08-18,54
2019-08-25,50
2019-09-01,58
2019-09-08,53
2019-09-15,51
2019-09-22,49
2019-09-29,53
2019-10-06,57
2019-10-13,45
2019-10-20,55
2019-10-27,44
2019-11-03,45
2019-11-10,61
2019-11-17,51
2019-11-24,60
2019-12-01,46
2019-12-08,64
2019-12-15,70
2019-12-22,67
2019-12-29,58
2020-01-05,75
2020-01-12,55
2020-01-19,55
2020-01-26,52
2020-02-02,55
2020-02-09,46
2020-02-16,44
2020-02-23,59
2020-03-01,57
2020-03-08,49
