date,Performing_Art_NZ
2018-01-07,54
2018-01-14,0
2018-01-21,0
2018-01-28,17
2018-02-04,34
2018-02-11,66
2018-02-18,0
2018-02-25,33
2018-03-04,16
2018-03-11,50
2018-03-18,16
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,17
2018-04-22,35
2018-04-29,33
2018-05-06,33
2018-05-13,17
2018-05-20,0
2018-05-27,34
2018-06-03,34
2018-06-10,97
2018-06-17,33
2018-06-24,68
2018-07-01,17
2018-07-08,17
2018-07-15,18
2018-07-22,34
2018-07-29,17
2018-08-05,50
2018-08-12,34
2018-08-19,67
2018-08-26,0
2018-09-02,34
2018-09-09,17
2018-09-16,51
2018-09-23,0
2018-09-30,0
2018-10-07,18
2018-10-14,0
2018-10-21,18
2018-10-28,84
2018-11-04,17
2018-11-11,17
2018-11-18,50
2018-11-25,17
2018-12-02,18
2018-12-09,0
2018-12-16,0
2018-12-23,0
2018-12-30,20
2019-01-06,0
2019-01-13,35
2019-01-20,17
2019-01-27,18
2019-02-03,17
2019-02-10,17
2019-02-17,0
2019-02-24,17
2019-03-03,0
2019-03-10,16
2019-03-17,17
2019-03-24,0
2019-03-31,34
2019-04-07,51
2019-04-14,0
2019-04-21,54
2019-04-28,34
2019-05-05,17
2019-05-12,16
2019-05-19,100
2019-05-26,32
2019-06-02,80
2019-06-09,16
2019-06-16,16
2019-06-23,17
2019-06-30,16
2019-07-07,17
2019-07-14,17
2019-07-21,17
2019-07-28,16
2019-08-04,32
2019-08-11,16
2019-08-18,0
2019-08-25,98
2019-09-01,47
2019-09-08,47
2019-09-15,16
2019-09-22,16
2019-09-29,0
2019-10-06,0
2019-10-13,76
2019-10-20,30
2019-10-27,0
2019-11-03,31
2019-11-10,31
2019-11-17,0
2019-11-24,15
2019-12-01,16
2019-12-08,50
2019-12-15,49
2019-12-22,18
2019-12-29,0
2020-01-05,32
2020-01-12,46
2020-01-19,0
2020-01-26,30
2020-02-02,31
2020-02-09,15
2020-02-16,28
2020-02-23,14
2020-03-01,13
2020-03-08,14
