date,Cooking_TR
2018-01-07,42
2018-01-14,41
2018-01-21,39
2018-01-28,46
2018-02-04,49
2018-02-11,30
2018-02-18,38
2018-02-25,35
2018-03-04,43
2018-03-11,31
2018-03-18,40
2018-03-25,30
2018-04-01,45
2018-04-08,38
2018-04-15,31
2018-04-22,29
2018-04-29,28
2018-05-06,33
2018-05-13,31
2018-05-20,36
2018-05-27,34
2018-06-03,37
2018-06-10,27
2018-06-17,35
2018-06-24,35
2018-07-01,31
2018-07-08,26
2018-07-15,40
2018-07-22,30
2018-07-29,90
2018-08-05,64
2018-08-12,39
2018-08-19,31
2018-08-26,45
2018-09-02,64
2018-09-09,55
2018-09-16,65
2018-09-23,51
2018-09-30,47
2018-10-07,38
2018-10-14,48
2018-10-21,55
2018-10-28,40
2018-11-04,36
2018-11-11,53
2018-11-18,55
2018-11-25,42
2018-12-02,49
2018-12-09,48
2018-12-16,48
2018-12-23,40
2018-12-30,37
2019-01-06,38
2019-01-13,43
2019-01-20,48
2019-01-27,66
2019-02-03,54
2019-02-10,59
2019-02-17,55
2019-02-24,58
2019-03-03,60
2019-03-10,37
2019-03-17,49
2019-03-24,56
2019-03-31,37
2019-04-07,35
2019-04-14,33
2019-04-21,42
2019-04-28,33
2019-05-05,34
2019-05-12,43
2019-05-19,45
2019-05-26,40
2019-06-02,36
2019-06-09,47
2019-06-16,68
2019-06-23,43
2019-06-30,41
2019-07-07,36
2019-07-14,84
2019-07-21,100
2019-07-28,54
2019-08-04,61
2019-08-11,39
2019-08-18,49
2019-08-25,40
2019-09-01,41
2019-09-08,74
2019-09-15,53
2019-09-22,55
2019-09-29,41
2019-10-06,53
2019-10-13,54
2019-10-20,47
2019-10-27,40
2019-11-03,44
2019-11-10,55
2019-11-17,51
2019-11-24,29
2019-12-01,40
2019-12-08,43
2019-12-15,44
2019-12-22,51
2019-12-29,51
2020-01-05,59
2020-01-12,47
2020-01-19,39
2020-01-26,37
2020-02-02,40
2020-02-09,49
2020-02-16,48
2020-02-23,48
2020-03-01,39
2020-03-08,38
