date,Collecting_IL
2018-01-07,44
2018-01-14,21
2018-01-21,78
2018-01-28,61
2018-02-04,71
2018-02-11,63
2018-02-18,54
2018-02-25,63
2018-03-04,70
2018-03-11,88
2018-03-18,17
2018-03-25,53
2018-04-01,71
2018-04-08,80
2018-04-15,73
2018-04-22,83
2018-04-29,64
2018-05-06,83
2018-05-13,50
2018-05-20,39
2018-05-27,54
2018-06-03,49
2018-06-10,57
2018-06-17,53
2018-06-24,43
2018-07-01,32
2018-07-08,31
2018-07-15,60
2018-07-22,55
2018-07-29,33
2018-08-05,66
2018-08-12,39
2018-08-19,56
2018-08-26,40
2018-09-02,52
2018-09-09,73
2018-09-16,18
2018-09-23,58
2018-09-30,28
2018-10-07,60
2018-10-14,60
2018-10-21,68
2018-10-28,53
2018-11-04,26
2018-11-11,100
2018-11-18,31
2018-11-25,54
2018-12-02,53
2018-12-09,33
2018-12-16,48
2018-12-23,43
2018-12-30,38
2019-01-06,38
2019-01-13,38
2019-01-20,49
2019-01-27,65
2019-02-03,41
2019-02-10,21
2019-02-17,53
2019-02-24,41
2019-03-03,38
2019-03-10,52
2019-03-17,62
2019-03-24,62
2019-03-31,49
2019-04-07,49
2019-04-14,56
2019-04-21,35
2019-04-28,47
2019-05-05,48
2019-05-12,36
2019-05-19,41
2019-05-26,47
2019-06-02,53
2019-06-09,54
2019-06-16,58
2019-06-23,52
2019-06-30,42
2019-07-07,78
2019-07-14,26
2019-07-21,74
2019-07-28,74
2019-08-04,53
2019-08-11,67
2019-08-18,51
2019-08-25,36
2019-09-01,67
2019-09-08,51
2019-09-15,74
2019-09-22,41
2019-09-29,50
2019-10-06,38
2019-10-13,52
2019-10-20,39
2019-10-27,46
2019-11-03,37
2019-11-10,54
2019-11-17,43
2019-11-24,33
2019-12-01,47
2019-12-08,43
2019-12-15,33
2019-12-22,75
2019-12-29,28
2020-01-05,32
2020-01-12,63
2020-01-19,60
2020-01-26,56
2020-02-02,58
2020-02-09,46
2020-02-16,54
2020-02-23,49
2020-03-01,31
2020-03-08,71
