date,Cooking_US
2018-01-07,42
2018-01-14,42
2018-01-21,40
2018-01-28,39
2018-02-04,39
2018-02-11,39
2018-02-18,38
2018-02-25,36
2018-03-04,35
2018-03-11,37
2018-03-18,38
2018-03-25,40
2018-04-01,41
2018-04-08,36
2018-04-15,37
2018-04-22,36
2018-04-29,33
2018-05-06,34
2018-05-13,35
2018-05-20,34
2018-05-27,38
2018-06-03,35
2018-06-10,36
2018-06-17,35
2018-06-24,36
2018-07-01,38
2018-07-08,35
2018-07-15,38
2018-07-22,38
2018-07-29,36
2018-08-05,35
2018-08-12,36
2018-08-19,36
2018-08-26,35
2018-09-02,36
2018-09-09,34
2018-09-16,34
2018-09-23,35
2018-09-30,35
2018-10-07,35
2018-10-14,35
2018-10-21,35
2018-10-28,35
2018-11-04,38
2018-11-11,46
2018-11-18,100
2018-11-25,40
2018-12-02,40
2018-12-09,41
2018-12-16,44
2018-12-23,74
2018-12-30,53
2019-01-06,44
2019-01-13,44
2019-01-20,43
2019-01-27,42
2019-02-03,39
2019-02-10,40
2019-02-17,38
2019-02-24,38
2019-03-03,37
2019-03-10,38
2019-03-17,37
2019-03-24,35
2019-03-31,36
2019-04-07,35
2019-04-14,39
2019-04-21,41
2019-04-28,36
2019-05-05,34
2019-05-12,35
2019-05-19,35
2019-05-26,38
2019-06-02,34
2019-06-09,35
2019-06-16,37
2019-06-23,35
2019-06-30,37
2019-07-07,35
2019-07-14,37
2019-07-21,35
2019-07-28,35
2019-08-04,35
2019-08-11,37
2019-08-18,35
2019-08-25,35
2019-09-01,35
2019-09-08,34
2019-09-15,35
2019-09-22,35
2019-09-29,35
2019-10-06,37
2019-10-13,36
2019-10-20,36
2019-10-27,36
2019-11-03,39
2019-11-10,40
2019-11-17,45
2019-11-24,92
2019-12-01,38
2019-12-08,40
2019-12-15,42
2019-12-22,73
2019-12-29,52
2020-01-05,45
2020-01-12,43
2020-01-19,43
2020-01-26,39
2020-02-02,38
2020-02-09,40
2020-02-16,40
2020-02-23,37
2020-03-01,37
2020-03-08,36
