date,Arts_VN
2018-01-07,66
2018-01-14,63
2018-01-21,74
2018-01-28,75
2018-02-04,69
2018-02-11,51
2018-02-18,56
2018-02-25,72
2018-03-04,79
2018-03-11,79
2018-03-18,83
2018-03-25,84
2018-04-01,79
2018-04-08,85
2018-04-15,80
2018-04-22,76
2018-04-29,69
2018-05-06,82
2018-05-13,68
2018-05-20,59
2018-05-27,67
2018-06-03,60
2018-06-10,55
2018-06-17,51
2018-06-24,44
2018-07-01,40
2018-07-08,46
2018-07-15,60
2018-07-22,52
2018-07-29,62
2018-08-05,62
2018-08-12,64
2018-08-19,72
2018-08-26,70
2018-09-02,67
2018-09-09,85
2018-09-16,68
2018-09-23,70
2018-09-30,72
2018-10-07,89
2018-10-14,73
2018-10-21,71
2018-10-28,76
2018-11-04,84
2018-11-11,67
2018-11-18,68
2018-11-25,74
2018-12-02,76
2018-12-09,75
2018-12-16,91
2018-12-23,82
2018-12-30,58
2019-01-06,61
2019-01-13,66
2019-01-20,64
2019-01-27,60
2019-02-03,47
2019-02-10,68
2019-02-17,79
2019-02-24,84
2019-03-03,84
2019-03-10,88
2019-03-17,93
2019-03-24,80
2019-03-31,85
2019-04-07,76
2019-04-14,74
2019-04-21,71
2019-04-28,74
2019-05-05,83
2019-05-12,74
2019-05-19,76
2019-05-26,88
2019-06-02,69
2019-06-09,81
2019-06-16,74
2019-06-23,74
2019-06-30,70
2019-07-07,79
2019-07-14,76
2019-07-21,72
2019-07-28,76
2019-08-04,68
2019-08-11,73
2019-08-18,88
2019-08-25,84
2019-09-01,75
2019-09-08,81
2019-09-15,77
2019-09-22,90
2019-09-29,79
2019-10-06,87
2019-10-13,80
2019-10-20,92
2019-10-27,96
2019-11-03,89
2019-11-10,94
2019-11-17,84
2019-11-24,81
2019-12-01,87
2019-12-08,88
2019-12-15,100
2019-12-22,96
2019-12-29,85
2020-01-05,82
2020-01-12,69
2020-01-19,68
2020-01-26,70
2020-02-02,74
2020-02-09,83
2020-02-16,75
2020-02-23,84
2020-03-01,86
2020-03-08,74
